id,name,argument
37,28.txt,"However, the fact remains that there is as yet not sufficient common ground in the legal and social orders of the member States of the Council of Europe to conclude that a system whereby a State can impose restrictions on the propagation of material on the basis that it is blasphemous is, in itself, unnecessary in a democratic society and thus incompatible with the Convention"
38,28.txt, In this regard the scope of the offence of blasphemy and the safeguards inherent in the legislation are especially important.
39,28.txt,It is against this background that the asserted justification under Article 10 para. 2 (art. 10-2) in the decisions of the national authorities must be considered.
40,28.txt,"Bearing in mind the safeguard of the high threshold of profanation embodied in the definition of the offence of blasphemy under English law as well as the State’s margin of appreciation in this area (see paragraph 58 above), the reasons given to justify the measures taken can be considered as both relevant and sufficient for the purposes of Article 10 para. 2 (art. 10-2)."
41,28.txt,The risk that any Christian would unwittingly view the video was therefore substantially reduced and so was the need to impose restrictions on its distribution.
42,28.txt,Having reached the conclusion that they did as to the blasphemous content of the film it cannot be said that the authorities overstepped their margin of appreciation.
43,28.txt,"Admittedly, it is regrettable that the protection afforded by this legislation does not apply to other religions, for such a limitation makes no sense in 1996 now that we have the United Nations and UNESCO instruments on tolerance."
44,28.txt,"However, the European Convention on Human Rights does not, on the one hand, prohibit legislation of this type, which is found in a number of member States, and, on the other hand, it leaves scope for review under Article 14 (art. 14)."
45,28.txt,In the present case no complaint had been made to the European Court under that Article (art. 14).
46,28.txt,"instead of St Teresa’s ecstasies, what had been in issue had been a video showing, for example, the anti-clerical Voltaire having sexual relations with some prince or king."
47,28.txt,"What I have written on that subject, with four other judges, in the case of Observer and Guardian v. the United Kingdom  applies not only to the press, but also, mutatis mutandis, to other forms of expression, including video works."
48,28.txt,"Judgment of 26 November 1991, Series A no. 216, p. 46"
49,28.txt,Section 7 of the Video Recordings Act 1984
50,28.txt,"Of course, anything so decided by such authority needs reasonable justification and must not be arbitrary."
51,28.txt,"It must, if contested, be subject to judicial review, and it must not have the effect of preventing the courts from deciding, as the case may be, whether the work concerned deserves, or does not deserve, any sanction under existing law."
52,28.txt,This was indeed what actually happened in respect of the piece in issue in the present case.
53,28.txt,It certainly goes too far. 4.
54,28.txt,"To the extent that the criminal law of blasphemy might have been infringed by the applicant, I would observe that the necessity of such laws is very much open to question."
55,28.txt,"I am unable to agree with the conclusion of the majority that the interference with the applicant’s right to freedom of expression was ""necessary in a democratic society""."
56,28.txt,The British Board of Film Classification and the five-member panel of the VAC took the view that the applicant would commit an offence of blasphemy if his video work Visions of Ecstasy were to be distributed (see paragraph 20 of the judgment).
57,28.txt,In cases of prior restraint (censorship) there is interference by the authorities with freedom of expression even though the members of the society whose feelings they seek to protect have not called for such interference.
58,28.txt,The interference is based on the opinion of the authorities that they understand correctly the feelings they claim to protect.
59,28.txt,The actual opinion of believers remains unknown. 
60,28.txt,"The law of blasphemy only protects the Christian religion and, more specifically, the established Church of England (see paragraph 28 of the judgment)."
61,28.txt,"As the Court has consistently held, the guarantees enshrined in Article 10 (art. 10) apply not only to information or ideas that are favourably received or regarded as inoffensive, but also to those that shock or disturb."
62,28.txt,Artistic impressions are often conveyed through images and situations which may shock or disturb the feelings of a person of average sensitivity.
63,28.txt,"since it was based on a discriminatory law, limited to the protection of Christians, and specifically, those of the Anglican faith."
64,28.txt,"The Government contended that the applicant’s video work was clearly a provocative and indecent portrayal of an object of religious veneration, that its distribution would have been sufficiently public and widespread to cause offence and that it amounted to an attack on the religious beliefs of Christians which was insulting and offensive."
65,28.txt,"The Court observes that the refusal to grant Visions of Ecstasy a distribution certificate was intended to protect ""the rights of others"", and more specifically to provide protection against seriously offensive attacks on matters regarded as sacred by Christians (see paragraph 48 above)."
66,28.txt,The laws to which the applicant made reference (see paragraph 54 above) and which pursue related but distinct aims are thus not relevant in this context.
67,28.txt,"As the observations filed by the intervenors (see paragraph 5 above) show, blasphemy legislation is still in force in various European countries."
68,28.txt,It is true that the application of these laws has become increasingly rare and that several States have recently repealed them altogether.
69,28.txt,In the United Kingdom only two prosecutions concerning blasphemy have been brought in the last seventy years (see paragraph 27 above).
70,28.txt,"Strong arguments have been advanced in favour of the abolition of blasphemy laws, for example, that such laws may discriminate against different faiths or denominations - as put forward by the applicant - or that legal mechanisms are inadequate to deal with matters of faith or individual belief - as recognised by the Minister of State at the Home Department in his letter of 4 July 1989 (see paragraph 29 above). "
71,28.txt,"(see, mutatis mutandis, the Otto-Preminger-Institut judgment cited above at paragraph 46, p. 19, para. 49)."
72,28.txt,"Moreover, as in the field of morals, and perhaps to an even greater degree, there is no uniform European conception of the requirements of ""the protection of the rights of others"" in relation to attacks on their religious convictions."
73,28.txt,"What is likely to cause substantial offence to persons of a particular religious persuasion will vary significantly from time to time and from place to place, especially in an era characterised by an ever growing array of faiths and denominations."
74,28.txt,"By reason of their direct and continuous contact with the vital forces of their countries, State authorities are in principle in a better position than the international judge to give an opinion on the exact content of these requirements with regard to the rights of others as well as on the ""necessity"" of a ""restriction"" intended to protect from such material those whose deepest feelings and convictions would be seriously offended (see, mutatis mutandis, the Müller and Others v. Switzerland judgment of 24 May 1988, Series A no. 133, p. 22, para. 35)."
75,28.txt,This does not of course exclude final European supervision.
76,28.txt,Such supervision is all the more necessary given the breadth and open-endedness of the notion of blasphemy and the risks of arbitrary or excessive interferences with freedom of expression under the guise of action taken against allegedly blasphemous material
77,28.txt,"Moreover the fact that the present case involves prior restraint calls for special scrutiny by the Court (see, mutatis mutandis, the Observer and Guardian v. the United Kingdom judgment of 26 November 1991, Series A no. 216, p. 30, para. 60)."
78,28.txt,The Court’s task in this case is to determine whether the reasons relied on by the national authorities to justify the measures interfering with the applicant’s freedom of expression are relevant and sufficient for the purposes of Article 10 para. 2 of the Convention (art. 10-2).
79,28.txt,"As regards the content of the law itself, the Court observes that the English law of blasphemy does not prohibit the expression, in any form, of views hostile to the Christian religion."
80,28.txt,Nor can it be said that opinions which are offensive to Christians necessarily fall within its ambit.
81,28.txt,"As the English courts have indicated (see paragraph 27 above), it is the manner in which views are advocated rather than the views themselves which the law seeks to control."
82,28.txt,"The extent of insult to religious feelings must be significant, as is clear from the use by the courts of the adjectives ""contemptuous"", ""reviling"", ""scurrilous"", ""ludicrous"" to depict material of a sufficient degree of offensiveness."
83,28.txt,"The high degree of profanation that must be attained constitutes, in itself, a safeguard against arbitrariness."
