,id,argument,tsne_30_x,tsne_30_y,argument_id,name,cluster_id,kp
45,46,He stresses the key role played by freedom of expression in a democratic society. ,26.585197,65.19499,46,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
0,1,The Commission notes that the applicant was detained after having been sentenced by the first instance court to 18 months' imprisonment.,-20.717447,-56.532124,1,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
1,2,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine.",-23.226044,-55.705254,2,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
5,6,The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court,27.455868,-78.88777,6,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
9,10,"in that , allegedly, insufficient reasons were given by the courts to justify his conviction.
",-29.24389,-38.844326,10,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
10,11,The applicant further complains of the attitude of some of the judges,-43.10229,-36.417583,11,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
11,12,and of not having received a written copy of the first instance judgment in time for the preparation of his appeal.,-26.425632,-39.75656,12,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
12,13,He alleges that witnesses on his behalf were not duly heard by the courts.,-28.726143,-41.00232,13,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
23,24,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).
",80.153595,-2.3763657,24,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
30,31,"on 27 September 1991, which is more than six months after the date on which the final decision regarding the applicant's case was given by the Court of Cassation on 15 February 1991.
",56.328796,-49.962093,31,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
31,32,"However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,",57.34567,-48.129227,32,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
33,34,"However, while basing his case on the narrower domestic criminal law provision of Article 192 of the Greek Penal Code, the applicant claimed the right to use the words ""Turk(s)"" or ""Turkish"" to identify the Moslems of Western Thrace.",-5.660143,-23.65136,34,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
37,38,because of his detention.,-45.853348,-78.61494,38,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
41,42,The Commission notes that the applicant's conviction involved his writings.,0.22258492,-53.86289,42,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
42,43,"The applicant does not dispute the existence of a legal basis for his conviction, but he maintains that the conviction and punishment inflicted upon him were without any legitimate purpose",-33.452076,-37.793663,43,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
43,44,under the Convention and alleges that they constituted a kind of reprisal for his assertion of his Turkish ethnic origin.,-36.73779,-21.442574,44,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
44,45,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.,-32.407974,-38.18384,45,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
46,47,"because at no time at first instance, on appeal or in cassation did the applicant raise the issues under the Convention, even in substance.",-23.637333,-39.892227,47,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
48,49," In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,",-17.350681,-45.49129,49,00.txt,0,The European Court of Human Rights (ECHR) has ruled in favour of a Turkish-Armenian writer who was convicted of insulting the Turkish president and sentenced to three years in prison.
2,3," Article 5 para. 1 (Art. 5-1) of the Convention guarantees the right to liberty and security of person, subject to certain exceptions, such as the lawful detention of a person after conviction by a competent court, within the meaning of sub-paragraph (a) of the provision.",40.096104,44.235756,3,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
3,4,"The Commission finds that the applicant was deprived of his liberty ""after conviction by a competent court"" within the meaning of Article 5 para. 1 (a) (Art. 5-1-a) of the Convention.",39.49261,41.208103,4,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
4,5,"The Commission also finds no evidence in the case to suggest an infringement of paragraphs 3 and 4 of Article 5 (Art. 5-3, 5-4):",45.119465,31.979721,5,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
8,9,The applicant next complains under Article 6 para. 1 (Art. 6-1) of the Convention of,54.257954,21.678198,9,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
13,14,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",76.761826,38.31917,14,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
16,17,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",76.761826,38.31917,17,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
20,21,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",76.761826,38.31917,21,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
26,27,"He invokes Articles 9, 10, 11 and 14 (Art. 8, 10, 11, 14) of the Convention, which guarantee these freedoms and prohibit discrimination respectively.
",44.646526,5.624125,27,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
28,29,This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers ...,37.591393,62.40547,29,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
29,30,"  The exercice of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime ..."".",45.63219,65.119675,30,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
32,33,"The Commission observes that Article 26 (Art. 26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism",75.52186,24.136276,33,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
36,37,  Article 3 of Protocol No. 1 (P1-3) provides for free elections under conditions which will ensure the free expression of the opinion of the people in the choice of the legislature.,0.0026690485,12.125282,37,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
39,40,The Commission concludes that the applicant has complied with the requirements of Article 26 (Art. 26) of the Convention.,64.24789,36.44726,40,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
40,41,"These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",56.537785,36.918285,41,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
47,48,"The Government next submits, in respect of Article 26 (Art. 26) of the Convention",52.297665,7.654436,48,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
49,50,"it is sufficient that the complaints intended to be made subsequently before the Convention organs should have been raised at least in substance and in compliance with the formal requirements and time-limits laid down in domestic law"" (Eur. Court H.R., Castells judgment of 23 April 1992, Series A no. 236, p. 19, para. 27).",81.996254,23.46631,50,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
50,51,"Therefore, ""he provided the national courts with the opportunity which is in principle intended to be afforded to Contracting States by Article 26 (Art. 26), namely the opportunity of putting right the violations alleged against them"" (Eur. Court H.R., Guzzardi judgment of 6 November 1980, Series A no. 39, p. 27, para. 72).",75.88168,10.556561,51,00.txt,1,The European Court of Human Rights (ECHR) is the highest court of human rights in the European Union.
56,57,"Moreover, it finds that, in view of the serious nature of the complaints and their connection with the general situation in South-East Turkey,",23.520712,-52.96679,57,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
58,59, it anyway finds that the applicant has done all that could be expected in the circumstances.,-91.437,15.518222,59,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
59,60,"Moreover, when asked to sign a statement, he had answered that he could not sign because he could not move his hands.",-32.774395,-57.465847,60,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
60,61, The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured. ,-7.1200457,-60.271595,61,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
61,62,"It is not possible to establish in detail what happened during the applicant's meeting with the public prosecutor, but the Commission finds no reason to doubt that during their conversation there were elements which should have made the public prosecutor initiate an investigation or, at the very least, try to obtain further information from the applicant about his state of health or about the treatment to which he had been subjected.",-1.6161046,-67.023865,62,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
63,64,"The threats to which the applicant claimed to have been exposed after he had complained to the Commission, as well as his tragic death in circumstances which have so far not been fully clarified, are further elements which may at least support the view that the pursuance of remedies may not be devoid of serious risks.",17.52206,-51.5586,64,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
64,65,"The Commission does not deem it necessary to determine whether there exists an administrative practice on the part of Turkish authorities tolerating abuses of human rights of the kind alleged by the applicant, because",30.543312,-52.660793,65,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
65,66," The applicant submitted that any purported remedy is illusory, inadequate and ineffective.",21.345778,-58.518158,66,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
66,67,"He did not deny that the procedures identified by the Government are formally part of the Turkish legal structure, but he contended that the Government have not shown how such procedures could conceivably be effective for the specific circumstances of the present case.",-7.6826415,-29.15889,67,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
67,68,The applicant considered that none of the remedies suggested by the Government could be regarded as effective because the scale of torture committed with impunity by agents of the State in detention centres is such that this must be considered high-level Government policy - an administrative practice - in regard to which all remedies are theoretical and irrelevant.,18.852749,-59.96479,68,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
68,69,"This has been confirmed by such bodies as the European Committee for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment, which, in its public statement of 15 December 1992, concluded that the practice of torture and other forms of severe ill-treatment of persons in police custody remains widespread in Turkey, and that such methods are applied to both ordinary criminal suspects and persons held under anti-terrorist provisions (p. 6 para. 21).",29.303785,-68.17869,69,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
69,70, The purported remedies were thus ineffective for the following reasons:,50.43854,-27.460552,70,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
70,71,the limitations on rights and remedies created by the state of emergency;,33.837986,-55.70043,71,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
71,72, an administrative practice of torture in Turkish detention centres;,24.689947,-67.49041,72,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
73,74," even if an investigation is made, the lack of effective action being taken afterwards;",17.802822,-65.5192,74,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
75,76," the positive discouragement of those who do wish to seek remedies, as has been demonstrated so tragically in the present case;",3.0930839,-9.733164,76,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
77,78,"At present 16 lawyers are facing criminal charges, which include drawing up documents belittling the Turkish State and faxing them to human rights organisations in Europe. ",-39.831936,-22.33342,78,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
79,80,Another key group in guaranteeing effective investigation and protection is the medical profession.,-17.335793,19.519176,80,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
81,82,"However, the applicant alleged that doctors have been intimidated, as
was the case of the doctor whom he consulted at the Dicle Medical Faculty.",-11.327438,-64.83211,82,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
86,87,"The Government submit that it is generally accepted in the comparative and international law on terrorism, authorising ""certain adaptations of the liberal model"", that restrictions on Convention rights will be deemed necessary in a democratic society threatened by terrorist violence, as being proportionate to the aim of protecting public order.",-19.017052,17.367857,87,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
87,88," The threat posed to Turkey by the PKK and its affiliations is internationally recognised, as is the need to react firmly to it. ",-14.822374,14.619264,88,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
88,89,In this respect the Government assert that the powers exercised by the police while the applicant was in their custody did not exceed the margin of appreciation conferred on States by the Convention.,-2.8216434,31.911959,89,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
89,90,They add that his death was not the work of any State agent but that of terrorist in-fighting.,-75.87048,-30.934093,90,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
91,92,The application principally concerns torture and inhuman conditions of detention.,2.6533782,-59.682278,92,01.txt,0,The European Court of Human Rights has ruled that the Turkish authorities did not breach the human rights of an applicant when they arrested him and took him into custody.
52,53,"The Commission concludes that the applicant may be said to have complied with the domestic remedies' rule laid down in Article 26 (Art. 26) of the Convention and, consequently, the application cannot be rejected under Article 27 para. 3 (Art. 27-3).
",63.885395,34.567024,53,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
57,58,the application is of such general interest ,-20.0889,31.160355,58,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
76,77,"an administrative practice of not respecting the rule under Article 13 (Art. 13) of the Convention which requires the provision of effective domestic remedies; and

-     whether or not there is an administrative practice, domestic remedies were ineffective in this case, owing to the failure of the legal system to provide redress.
",68.4581,30.324692,77,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
84,85,"the second requirement of Article 26 (Art. 26) of the Convention, namely that of lodging the application within six months of the final effective decision or, if none, within six months of the events of which complaints are made.

",69.72493,37.270756,85,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
85,86,"The present application
was lodged on 3 May 1993, i.e. within the six month period. ",55.110477,-45.241447,86,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
90,91,"As to Articles 6 and 13 (Art. 6, 13) of the Convention, the Government submit that Turkish law guarantees several remedies (as described above at pp. 5-6) without discrimination.",44.972553,7.3580995,91,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
92,93,"It involves rights under Article 3 (Art. 3) of the Convention which is absolute, unqualified and non-derogable.",47.706486,8.588568,93,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
93,94," As regards the complaint under Article 5 para. 3 (Art. 5-3) of the Convention and the derogation under Article 15 (Art. 15), the applicant contested the necessity of a measure permitting detention for as long as 30 days without any of the basic safeguards against abuse, which were deemed to be essential by the Convention organs",39.368572,12.260906,94,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
94,95,"(Eur. Court H.R., Brannigan and McBride judgment of 26 May 1993, Series A no. 258- B, pp. 55-56, paras. 62-66).",94.72495,0.9140816,95,01.txt,1,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
51,52,that it would not be justified to strike it off the list of cases.,-0.52636826,25.34634,52,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
53,54,"The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts. However, this is far from clear at the present stage of the proceedings, and it is therefore impossible to reject the application on this ground.",55.96028,-21.100216,54,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
54,55,"The Commission considers, in the light of the parties' submissions, that the case raises complex issues of law and fact under the Convention, the determination of which should depend on an examination of the merits of the application as a whole. ",61.447124,52.760048,55,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
55,56,The Commission notes the declaration by the applicant's representatives that the applicant's father wishes to pursue proceedings before the Commission.,55.773018,-9.223151,56,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
78,79,This is demonstrated in other cases pending before the Commission.,78.21812,-4.523891,79,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
95,96,The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts.,55.828274,-21.62025,96,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
96,97,"However, this is far from clear at the present stage of the proceedings,",-6.9972997,-12.373202,97,01.txt,2,The Irish Government has failed in its bid to have a human rights case brought by the father of a boy who was killed by the IRA thrown out of the European Court of Human Rights.
62,63,"Moreover, his family had also been affected by the actions of the authorities insofar as his father and one of his brothers had been detained for short periods at about the same time, and the applicant himself was hospitalised for two weeks after his release.",-29.138441,-65.24679,63,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
72,73,"the lack of genuine investigations by public prosecutors and other competent authorities, who ignore the evidence of their own eyes, as in this case, and either do nothing or simply take evidence from the members of the police or security forces;",21.117775,-66.492386,73,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
74,75,an official attitude of legal unaccountability towards the security forces;,21.686707,-68.81782,75,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
80,81,"Doctors must be free to give
honest accounts of what they have found in their investigations.",-9.986896,34.348495,81,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
82,83,the Government have referred to a number of judgments by the administrative and criminal courts.,24.593428,-63.043213,83,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
83,84,"Some of these decisions concern cases in which the State Council has ordered the prosecution of public officials for ill-treating people in custody, despite the initial view of the local administrative council that the cases were unsuitable for criminal proceedings.",2.5960648,-35.295544,84,01.txt,3,The Irish Government has referred a number of decisions by the State Council to the Court of Appeal in relation to an application by a man for asylum in the Republic of Ireland.
97,98,"It is furthermore established that the burden of
proving the existence of available and sufficient domestic remedies
lies upon the State invoking the rule",48.48552,-21.120451,98,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
98,99,"(cf. Eur. Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no. 77, p.
18, para. 36, and Nos. 14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R. 61 p. 250, 262).",88.23317,2.4022994,99,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
99,100,"In the present case, the Government have not provided any
additional information which might lead the Commission to depart from
the above conclusions.",37.103012,-50.195538,100,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
100,101,"The Commission concludes that this application cannot be
rejected for non-exhaustion of domestic remedies under Articles 26 and
27 para. 3 (Art. 26, 27-3) of the Convention.",63.47078,32.810394,101,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
101,102,"The Commission recalls that Article 26 (Art. 26) of the
Convention only requires the exhaustion of such remedies which relate
to the breaches of the Convention alleged and at the same time can
provide effective and sufficient redress.",74.114845,31.699564,102,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
102,103,"The Commission is not satisfied in view of the
delays involved that this inquiry can be considered as furnishing an
effective remedy for the purposes of Article 26 (Art. 26) of the
Convention.",64.801125,28.227945,103,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
103,104,"The Commission has examined whether the applicant has complied
with the requirement imposed by Article 26 (Art. 26) of the Convention
that an application must be introduced within six months of the final
decision taken in respect of the complaints.",69.42578,38.257843,104,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
104,105,"In the present case, the Commission observes that whereas in his
original application the applicant stated that his house was burnt down
on 3 January 1994, it appears that the incident under investigation by
the public prosecutor of Kulp district and the Kulp District
Administrative Board occurred on 13 November 1993.",-3.641305,-58.861732,105,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
105,106,"The Commission
found above that the applicant is not required to pursue domestic
remedies in light of their apparent ineffectiveness.",50.892414,-29.112677,106,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
108,109,"The case-law of the Commission establishes that where no domestic
remedy is available, the six months period runs from the act complained
of",71.78645,35.07193,109,02.txt,0,The European Commission has received a complaint under the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW).
