kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"121-A, p. 32-33, para.",0,1350,3,5,93,115,6,0.333324939
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0,20,1,3,85,137,11,0.3258142769
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0,24,1,3,85,137,11,0.3258142769
none,"122, and the authorities cited there).",0,1683,2,3,357,395,6,0.4449243248
none,"12763/87,
 Dec. 14.7.88, D.R.",0,1279,2,4,143,172,8,0.3358743191
none,"13) must be ""effective"" in practice as well as in law, in particular in the sense that its exercise must not be unjustifiably hindered by the acts or omissions of the authorities of the respondent State.",0,276,1,2,54,257,36,0.4817532301
none,"13) provides as follows:
 

 ""Everyone whose rights and freedoms as set forth in this.",0,1132,1,6,17,102,14,0.3974366486
none,"132, p. 24, para.",0,518,1,3,91,108,4,0.305750072
none,"14116/88 and 14117/88, Sargin and Yagci v.
 Turkey, Dec. 11.05.89, D.R.",0,99,5,7,126,197,16,0.2969130874
none,"14116/88 and 14117/88, Sargin and Yagci v.
 Turkey, Dec. 11.05.89, D.R.",0,119,5,7,126,197,16,0.2969130874
none,"14451/88, Dec.
 2.7.93, not published).",0,1334,4,5,196,235,8,0.5474924445
none,"145 B, p. 33, para.",0,261,1,5,130,149,5,0.291631192
none,"145-B, p. 27, para.",0,1583,3,5,227,246,5,0.3193387687
none,"148, p. 18, para.",0,897,1,3,83,100,4,0.2935112715
none,15) in time of war or other public emergency.,0,336,2,3,258,303,9,0.5620138645
none,"15), the applicant contested the necessity of a measure permitting detention for as long as 30 days without any of the basic safeguards against abuse, which were deemed to be essential by the Convention organs",0,94,3,4,120,329,35,0.4192735553
none,"16.2.5.
 

 and 16.6.2, pp.",0,1114,2,4,165,191,8,0.3529335558
none,"172, p. 13, para.",0,917,1,3,105,122,4,0.3070044219
none,"172, p.16, para.",0,457,4,6,220,236,4,0.3107986748
none,"172, p.16, para.",0,465,4,6,220,236,4,0.3107986748
none,18) of the Convention.,0,1433,3,4,151,173,4,0.3673157394
none,"18, p. 13, para.",0,456,1,5,103,119,4,0.3028140962
none,"182, p. 15, para.",0,1583,1,5,111,128,4,0.3183085322
none,"19) of the Convention, its only task is to ensure the observance of the obligations undertaken by the.",0,171,1,3,171,273,18,0.3568291962
none,"19) of the Convention, to ensure the observance of the engagement undertaken by the States Parties under Article 1 (art.",0,1698,1,3,259,379,20,0.3419361115
none,"19369/92, Dec. 8.1.93, not published).",0,1364,3,4,160,198,8,0.5008015633
none,"198,
 p. 12, para.",0,1307,2,4,77,95,4,0.2982114255
none,"1991, whereas the present application was lodged on 16 November 1992,
 i.e.",0,1299,2,4,139,214,13,0.365791291
none,"2 March 1987, Series A no.",0,1378,3,7,42,68,6,0.2555030584
none,2 of the Convention (art.,0,1898,1,3,248,273,5,0.2848212421
none,2 of the Criminal Code is different in character from.,0,1397,3,6,122,176,10,0.3051338196
none,"2 of the Federal Constitution does not meet the requirements of the reservation, even if it applies.",0,1166,1,2,124,224,17,0.3798906505
none,2 of the Federal.,0,1389,1,5,37,54,4,0.3334977031
none,2 of the Federal.,0,1169,1,8,37,54,4,0.3334977031
none,2 of the Federal.,0,1173,1,5,37,54,4,0.3334977031
none,2) imposes a duty on States to adopt clear and.,0,1203,2,5,37,84,10,0.3737824261
none,"2) requires, in addition, that States.",0,1219,2,5,35,73,6,0.3340838253
none,"20 March 1991, Series A no.",0,1358,2,6,60,87,6,0.2553910017
none,"200, p. 18, para.",0,1257,3,5,73,90,4,0.310141325
none,"200, p. 18, para.",0,1922,1,3,66,83,4,0.310141325
none,"201, p. 32, para.",0,558,2,4,186,203,4,0.3052575886
none,"201, p. 32, para.",0,593,2,4,287,304,4,0.3052575886
none,"204, p. 25, para.",0,704,1,3,70,87,4,0.3082441092
none,"204, p. 26, para.",0,420,1,3,70,87,4,0.3048886955
none,"212-A, p. 14, para.",0,456,3,5,189,208,5,0.3229828179
none,"215, p. 39, para.",0,1683,1,3,339,356,4,0.3071838915
none,"216, p. 30, para.",0,1897,1,3,220,237,4,0.3096634746
none,"21608/93, Dec. 22.2.95,
 not published).",0,1325,4,5,200,240,8,0.524374485
none,"23 September 1994, Series A no.",0,1281,2,5,47,78,6,0.2539387643
none,"236, p. 19, para.",0,50,2,4,302,319,4,0.2982420921
none,25) of the Convention.,0,1415,3,5,183,205,4,0.3755208552
none,25-1) of the.,0,1357,2,6,53,66,4,0.2917287946
none,"25-1), and no new evidence in this connection was presented to the Court.",0,283,2,3,308,381,14,0.4568336606
none,"258-B, p. 57, para.",0,1676,1,3,91,110,5,0.3123956621
none,26) must be applied with some degree of flexibility and without excessive formalism.,0,244,1,2,53,137,13,0.5664995909
none,26) of the Convention,0,48,1,2,60,81,4,0.3206772208
none,26) of the Convention,0,149,1,2,32,53,4,0.3206772208
none,"26) of the Convention ""the Commission may.",0,1419,1,6,23,65,7,0.2650443614
none,26) of the Convention is.,0,1243,2,10,111,136,5,0.2924714684
none,26) of the Convention.,0,40,1,2,99,121,4,0.367428869
none,26) of the Convention.,0,104,2,5,114,136,4,0.367428869
none,26) of the Convention.,0,125,3,4,98,120,4,0.367428869
none,26) of the Convention.,0,1341,4,5,218,240,4,0.367428869
none,26) of the Convention.,0,1425,3,4,142,164,4,0.367428869
none,"26), the ""Commission may only deal.",0,1361,1,3,30,65,6,0.2728305459
none,"26), which ""dispenses States from answering before an international body for their acts before they have had an opportunity to put matters right through their own legal system""",0,1915,1,2,70,246,28,0.5005232692
none,"26, 27-3) of the Convention.",0,101,4,5,149,177,6,0.3532169461
none,"26, 27-3) of the Convention.",0,128,3,4,148,176,6,0.3532169461
none,"260-A, p. 22, para.",0,338,1,4,97,116,5,0.327640295
none,"260-A, p. 22, para.",0,360,1,4,97,116,5,0.327640295
none,"266-B, p. 35, para.",0,1744,3,5,221,240,5,0.3185722232
none,"266-B, p. 35, para.",0,1788,3,5,221,240,5,0.3185722232
none,"266-B, p. 35, para.",0,497,3,5,221,240,5,0.3185722232
none,"268-B, p. 45, para.",0,945,1,3,91,110,5,0.3181408048
none,"268-B, p. 45, para.",0,622,1,3,91,110,5,0.3181408048
none,"269, p. 17, para.",0,1618,6,9,246,263,4,0.3042176366
none,"27) and Helmers v. Sweden (judgment of 29 October 1991, Series A no.",0,456,2,5,120,188,13,0.3759378493
none,27-1-b) of the Convention.,0,1410,2,3,84,110,6,0.3423469961
none,27-1-b) of the Convention.,0,1473,5,6,204,230,6,0.3423469961
none,27-1-b) refers to inter-governmental institutions and.,0,1413,3,5,145,199,9,0.3845508397
none,27-2) of the Convention either.,0,139,3,4,259,290,6,0.3257471025
none,"27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",0,41,2,3,119,234,20,0.4902865291
none,27-2) of the Convention.,0,133,3,4,139,163,5,0.3704982698
none,27-2) of the Convention.,0,134,2,3,143,167,5,0.3704982698
none,27-2) of the Convention.,0,185,2,3,111,135,5,0.3704982698
none,27-2) of the Convention.,0,186,2,3,138,162,5,0.3704982698
none,27-2) of the Convention.,0,1136,5,6,283,307,5,0.3704982698
none,27-2) of the Convention.,0,1138,3,4,186,210,5,0.3704982698
none,27-2) of the Convention.,0,1426,6,7,305,329,5,0.3704982698
none,27-2) of the.,0,129,7,9,392,405,4,0.2906259894
none,27-3) of the Convention.,0,1265,4,5,125,149,5,0.3639058769
none,27-3) of the Convention.,0,1356,6,7,225,249,5,0.3639058769
none,"28, p. 23, para.",0,1599,1,3,85,101,4,0.3101356924
none,285 on the state of emergency region transferred the power to carry out investigations into criminal acts allegedly committed by civil servants from the public prosecutors to the administrative councils (see paragraph 26 above).,0,226,1,2,23,251,34,0.3778880835
none,"288, p. 16, para.",0,218,4,6,560,577,4,0.309266001
none,"290, p. 19, para.",0,551,1,5,81,98,4,0.3112467527
none,"297-C, p. 56, para.",0,551,3,5,189,208,5,0.3167483509
none,"299-A, p. 19, para.",0,589,2,4,194,213,5,0.3349168003
none,"299-B, p. 61, para.",0,598,4,6,212,231,5,0.3363149166
none,3 (d) of the Convention (art.,0,998,2,4,496,525,6,0.2823273838
none,"3) of the Convention which is absolute, unqualified and non-derogable.",0,93,1,2,41,111,11,0.3455492258
none,"3) of the Convention,
 the Commission has held that raising criminal charges against the.",0,1244,2,13,66,155,14,0.3271684945
none,3) of the Convention.,0,940,1,2,349,370,4,0.3429364264
none,3) of the Convention.,0,1438,2,3,82,103,4,0.3429364264
none,3) of the Convention.,0,1456,3,4,145,166,4,0.3429364264
none,3) of the Convention.,0,615,1,2,349,370,4,0.3429364264
none,"3, p. 56, para.",0,260,1,5,85,100,4,0.319553405
none,"3, p. 56, para.",0,265,1,5,85,100,4,0.319553405
none,"30 p. 96, at p. 102).",0,161,7,8,131,152,6,0.3842847645
none,"30 p. 96, at p. 102).",0,162,7,8,286,307,6,0.3842847645
none,"30 p. 96, at p. 102).",0,1213,8,9,134,155,6,0.3842847645
none,"30, p. 30, para.",0,1826,2,4,231,247,4,0.3129356205
none,"300-A, p. 25, para.",0,911,1,3,95,114,5,0.3273611665
none,"307-B, p. 55.",0,578,1,3,294,307,4,0.371150136
none,"31, p. 21, para.",0,1278,6,8,251,267,4,0.3113586903
none,"328-A, p. 16, para.",0,213,1,3,87,106,5,0.3232449293
none,"33, p. 41 et seq., at p. 58).",0,1471,4,5,66,95,8,0.481775105
none,"335-A, p. 15, para.",0,216,1,3,80,99,5,0.3343676329
none,"34 p. 78, and No.",0,1198,7,10,365,382,5,0.2854710519
none,"34, and p. 472, para.",0,993,2,4,227,248,5,0.342113018
none,"35, p. 15, para.",0,161,4,8,73,89,4,0.3235088587
none,"35, p. 15, para.",0,162,4,8,228,244,4,0.3235088587
none,"35, p. 15, para.",0,1213,5,9,75,91,4,0.3235088587
none,"39, p. 26, para.",0,1950,1,3,69,85,4,0.3104782999
none,"39, p. 26, para.",0,1951,2,4,188,204,4,0.3104782999
none,"39, p. 27, para.",0,51,3,5,304,320,4,0.3082946241
none,4 of the Convention requires judicial rather than.,0,1379,3,6,157,207,8,0.3781242669
none,"40, p. 19, para.",0,1928,1,3,78,94,4,0.3173975945
none,41 p. 103; No.,0,1244,10,13,374,388,4,0.3213075399
none,"45, p. 21, para.",0,634,1,3,202,218,4,0.3221283257
none,"45, p. 21, para.",0,638,1,3,100,116,4,0.3221283257
none,"458/59, X v. Belgium, Dec.
 29.3.60, Yearbook 3 pp.222, 236; No.",0,173,2,7,76,140,15,0.3263999224
none,46 p. 182; No.,0,1244,8,13,328,342,4,0.3195398152
none,"49, and the Kroon and Others v. the Netherlands judgment of 27 October 1994, Series A no.",0,551,2,5,99,188,17,0.3430850804
none,5) and makes express reference solely to measures for the deprivation of liberty.,0,1747,2,3,192,273,13,0.3723553121
none,5) and makes express reference solely to measures for the deprivation of liberty.,0,1790,2,3,193,274,13,0.3723553121
none,5) and makes express reference solely to measures for the deprivation of liberty.,0,855,2,3,189,270,13,0.3723553121
none,5) and makes express reference solely to measures for the deprivation of liberty.,0,500,2,3,191,272,13,0.3723553121
none,"5) to arrest suspects for questioning, free from effective control by the domestic courts or by the Convention supervisory institutions, whenever they choose to assert that terrorism is involved (ibid., p. 23, para.",0,1600,1,3,105,320,33,0.430678755
none,"5, 6) of the.",0,1405,3,10,180,193,4,0.2833135128
none,5-1) and the interference in the private and family life of Mrs Murray (and her family).,0,1727,2,3,104,192,17,0.3432598114
none,"5-1) of the Convention provides, so far as relevant, as follows:
 

  ""1.",0,142,2,10,24,96,13,0.3169852197
none,5-1) of the Convention.,0,1702,3,4,127,150,5,0.3555410504
none,"5-1), which, in so far as relevant, reads:
 ""Everyone has the right to liberty and security of person.",0,913,2,4,99,201,19,0.6124383807
none,"5-1), whilst at the same time informing the Court of the views of the Prosecutor-General, the authority which had ordered the applicant's detention on remand (see paragraph 11 above).",0,883,2,3,175,358,31,0.4027149379
none,5-1-c) (see paragraph 63 above).,0,1660,2,3,184,216,7,0.4981527925
none,"5-1-c) does not presuppose that the [investigating authorities] should have obtained sufficient evidence to bring charges, either at the point of arrest or while [the arrested person is] in custody.",0,1591,2,3,188,386,32,0.4187509716
none,5-1-c) have been fulfilled in the circumstances of the particular case.,0,1697,2,3,173,244,13,0.3862208128
none,5-1-c) is to further the criminal investigation by way of confirming or dispelling the concrete suspicion grounding the arrest.,0,1593,2,3,94,221,21,0.4099541605
none,5-1-c) of the Convention.,0,1607,2,3,305,330,6,0.3518043458
none,"5-1-c) shall be brought promptly before a judge or other officer authorised by law to exercise judicial power """,0,259,5,6,528,639,20,0.4082210362
none,"5-1-c) since ""the existence of such a purpose must be considered independently of its achievement"" (see the above-mentioned Brogan and Others judgment, pp.",0,1621,2,5,141,296,26,0.3816051781
none,"5-1-c), the Convention organs' supervisory powers are.",0,1432,3,9,217,271,9,0.328478545
none,"5-1-e); and the Klaas v. Germany judgment of 22 September 1993, Series A no.",0,1618,5,9,169,245,16,0.3655805588
none,"5-2) is to enable the arrested person to assess the lawfulness of the arrest and take steps to challenge it, if need be.",0,1726,4,5,298,418,24,0.4141755104
none,"5-2) of the Convention, which provides:",0,1627,2,3,72,111,7,0.3529320955
none,"5-2) to such a low level that it is doubtful whether in fact it can, if it is adhered to in this form, have any possible concrete application in the future.",0,1710,2,3,75,231,32,0.5185813904
none,"5-3), which is intended to minimise the risk of arbitrariness and to ensure the rule of law",0,267,2,3,167,258,18,0.5954540968
none,"5-3, 5-4):",0,5,1,2,118,128,4,0.3353829682
none,5-4) at any stage of the proceedings before the Convention institutions.,0,1680,2,3,83,155,12,0.3289787769
none,5-4) does not grant an.,0,1377,3,7,66,89,6,0.298597604
none,5-4) of the Convention.,0,950,2,3,286,309,5,0.3555513024
none,5-4) of the Convention.,0,628,2,3,286,309,5,0.3555513024
none,5-4) presupposes the existence of a procedure in conformity with its requirements without the necessity of instituting separate legal proceedings in order to bring it about.,0,949,2,3,44,217,27,0.3875113428
none,5-4) presupposes the existence of a procedure in conformity with its requirements without the necessity of instituting separate legal proceedings in order to bring it about.,0,627,2,3,44,217,27,0.3875113428
none,5-4) requires an oral hearing in the context of an adversarial procedure involving legal representation and the possibility of calling and questioning witnesses.,0,947,2,3,288,449,24,0.4575816989
none,5-4) requires an oral hearing in the context of an adversarial procedure involving legal representation and the possibility of calling and questioning witnesses.,0,625,2,3,24,185,24,0.4575816989
none,"5-4) since the Parole Board,
 save immediately after recall, is unable to order release, the ultimate.",0,1381,3,10,86,188,17,0.3216796517
none,"5-5) provides as follows:
 

  ""Everyone who has been the victim of arrest or detention in.",0,130,2,5,24,114,16,0.3388543427
none,5-6) without discrimination.,0,91,2,3,150,178,4,0.4453562498
none,"52), Article 7 (art.",0,338,2,4,117,137,4,0.2927668393
none,"52), Article 7 (art.",0,360,2,4,117,137,4,0.2927668393
none,"5258/71, X v. Sweden, Dec. 8.2.73,
 Collection 43 pp.71, 77; No.",0,173,3,7,141,205,15,0.3358353972
none,"56, p. 21, para.",0,896,1,3,96,112,4,0.3133330941
none,"58, p. 17, para.",0,1775,4,9,211,227,4,0.3123134077
none,"58, p. 17, para.",0,1819,4,9,211,227,4,0.3123134077
none,"5964/72, Dec. 29.9.75, D.R.",0,1243,8,10,365,392,8,0.3385379016
none,"5964/72, Dec. 29.9.75, D.R.",0,1244,11,13,389,416,8,0.3385379016
none,"6) as set out in the judgment of Kostovski v. the Netherlands (20 November 1989, Series A no.",0,995,1,3,372,465,18,0.3622406721
none,"6) of the Convention provides, so far as relevant, as follows:
 

  ""1.",0,138,3,12,84,154,12,0.3273189962
none,"6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art.",0,1747,1,3,75,191,19,0.3176069856
none,"6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art.",0,1790,1,3,76,192,19,0.3176069856
none,"6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art.",0,855,1,3,72,188,19,0.3176069856
none,"6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art.",0,500,1,3,74,190,19,0.3176069856
none,6) of the Convention.,0,138,1,12,42,63,4,0.3447878957
none,6) of the Convention.,0,1386,3,4,148,169,4,0.3447878957
none,6) of the Convention.,0,1161,1,2,136,157,4,0.3447878957
none,6) of the Convention.,0,1163,1,2,125,146,4,0.3447878957
none,6) of the Convention.,0,1171,3,4,140,161,4,0.3447878957
none,"6-1) does not in itself guarantee any particular content for (civil) 'rights and obligations' in the substantive law of the Contracting States""",0,458,2,3,26,169,23,0.3753399253
none,"6-1) embodies the 'right to a court', of which the right of access, that is the right to institute proceedings before courts in civil matters, constitutes one aspect only"" (loc.",0,394,1,4,30,207,31,0.3715783954
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0,1754,2,3,84,272,34,0.4649610817
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0,1802,2,3,84,272,34,0.4649610817
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0,868,2,3,84,272,34,0.4649610817
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0,514,2,3,84,272,34,0.4649610817
none,6-1) of the Convention of,0,9,2,3,59,84,6,0.3084186614
none,"6-1) of the Convention, cited above, guarantees a fair hearing in the determination of criminal charges.",0,1091,2,3,24,128,17,0.5898180604
none,6-1) of the Convention.,0,174,2,3,37,60,5,0.3547465503
none,6-1) of the Convention.,0,1365,7,8,334,357,5,0.3547465503
none,6-1) of the.,0,1085,7,9,367,379,4,0.2804301679
none,6-1) to apply to the proceedings in question it must.,0,1351,3,7,151,204,11,0.3694075644
none,6-1) would in practice unduly hamper the effective regulation in the public interest of complex financial and commercial activities.,0,392,2,3,50,182,20,0.7450196147
none,"6-1), either as regards the state of the applicable law or as regards the effects of the application of that law to the brothers.",0,445,2,3,323,452,25,0.3746655881
none,"6-1), or that its result was directly decisive for that right.",0,389,2,3,164,226,12,0.4071469307
none,6-1+6-3-d)).,0,998,3,4,526,538,4,0.3702543676
none,"6-1, 6-2) of the Convention in respect of the earlier risk of criminal prosecution were not infringed.",0,1104,2,3,116,218,19,0.4162246585
none,"6-1, 6-2,
 

 8) of the Convention and Article 1 of Protocol No.",0,1136,2,6,118,181,14,0.2959691882
none,6-2) of the Convention.,0,1239,6,7,300,323,5,0.3593005836
none,6-2) of the.,0,1276,2,5,54,66,4,0.2818075716
none,"6-2) provides that anyone ""charged with a criminal offence shall be presumed innocent until proved guilty according to law"".",0,1092,2,3,24,148,20,0.458569169
none,"6-2, 6-3)are specific aspects of the right to a fair trial set.",0,1254,3,7,75,138,14,0.4259090424
none,"61 p. 250, 262).",0,99,6,7,198,214,4,0.4447173476
none,"61 p. 250, 262).",0,119,6,7,198,214,4,0.4447173476
none,64) (Series A no.,0,1744,2,5,203,220,4,0.3530296981
none,64) (Series A no.,0,1788,2,5,203,220,4,0.3530296981
none,64) (Series A no.,0,497,2,5,203,220,4,0.3530296981
none,64) applied in the present case are covered by that reservation.,0,498,2,3,76,140,11,0.4097750783
none,64) in the present case are covered by that reservation.,0,1745,2,3,84,140,10,0.4559927285
none,64) in the present case are covered by that reservation.,0,1783,2,3,84,140,10,0.4559927285
none,64) in the present case are covered by that reservation.,0,853,2,3,84,140,10,0.4559927285
none,64) of the Convention,0,520,1,2,117,138,4,0.356574893
none,"64) of the Convention, which provides:",0,1739,1,2,78,116,6,0.395809561
none,"64) of the Convention, which provides:",0,1782,1,2,78,116,6,0.395809561
none,"64) of the Convention, which provides:",0,848,1,2,78,116,6,0.395809561
none,"64) of the Convention, which provides:",0,492,1,2,78,116,6,0.395809561
none,"64) shall contain a brief statement of the law concerned.""",0,1742,1,2,46,104,10,0.3672565818
none,"64) shall contain a brief statement of the law concerned.""",0,1786,1,2,46,104,10,0.3672565818
none,"64) shall contain a brief statement of the law concerned.""",0,851,1,2,46,104,10,0.3672565818
none,"64) shall contain a brief statement of the law concerned.""",0,495,1,2,46,104,10,0.3672565818
none,7 (P7) to the.,0,1405,5,10,248,262,4,0.2849819064
none,"7 (P7-3, P7-4).",0,522,1,2,141,156,5,0.3959701955
none,7 (P7-4) is to prohibit the repetition of criminal proceedings that have been concluded by a final decision.,0,525,1,2,82,190,19,0.4422521889
none,7 (P7-4) proscribes proceedings.,0,1396,2,6,53,85,5,0.3482008576
none,7 September 1992 Bulgaria ratified the Convention and recognised the.,0,1415,1,5,65,134,10,0.32133919
none,7 entered into force on 1 November 1988.,0,1393,3,4,232,272,8,0.407463789
none,7 entered into force on 1 November 1988.,0,1403,3,4,232,272,8,0.407463789
none,7) of the Convention was designed to prevent.,0,349,1,2,126,171,8,0.3496221304
none,"7) of the Convention, namely to ensure that no one should be subjected to arbitrary prosecution, conviction or punishment (see paragraph 32 above).",0,333,1,2,327,474,23,0.4173463285
none,7) of the Convention.,0,1462,1,2,93,114,4,0.3375029862
none,"7, the Government submit first that the.",0,1394,2,6,77,117,7,0.2422332168
none,7-1) of the Convention.,0,1461,4,5,108,131,5,0.3529263735
none,"71) the Court found that an actual threat against the witnesses was not required for the decision to maintain their anonymity to be reasonable, and that previous experience might be relevant.",0,1042,3,4,54,245,31,0.4895718694
