,id,argument,argument_id,name,argument_pegasus
29,30,"  The exercice of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime ..."".",30,00.txt,The Constitution of the Republic of Ireland:
30,31,"on 27 September 1991, which is more than six months after the date on which the final decision regarding the applicant's case was given by the Court of Cassation on 15 February 1991.
",31,00.txt,The European Court of Human Rights (ECHR) has upheld the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European
31,32,"However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,",32,00.txt,The European Commission has confirmed that it has received an application for leave to appeal against the European Court of Justice's decision to uphold the Lisbon Treaty.
32,33,"The Commission observes that Article 26 (Art. 26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism",33,00.txt,The European Commission has published its draft Treaty on the Functioning of the European Union (TFEU).
33,34,"However, while basing his case on the narrower domestic criminal law provision of Article 192 of the Greek Penal Code, the applicant claimed the right to use the words ""Turk(s)"" or ""Turkish"" to identify the Moslems of Western Thrace.",34,00.txt,"The Court of Appeal in Athens has upheld the conviction of a Turkish man for ""insulting"" the Moslems of Western Thrace."
34,35, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,35,00.txt,"The European Commission has received a report from the United Nations High Commissioner for Human Rights, Zeid Raad al-Hussein, on the situation in Syria."
35,36,In claiming a right to use these terms the applicant was formulating a complaint which was linked to the alleged violation of Article 10 (Art. 10) of the Convention.,36,00.txt,"The Court of Justice of the European Union (CJEU) has upheld a ruling by the European Court of Human Rights (ECHR) that an applicant could not claim a right to use terms such as ""right to be forgotten"" and ""right to be forgotten"" under the European Convention on Human Rights."
36,37,  Article 3 of Protocol No. 1 (P1-3) provides for free elections under conditions which will ensure the free expression of the opinion of the people in the choice of the legislature.,37,00.txt,"The President of the Republic of Ireland, Michael D Higgins, has signed the Constitution of the Republic of Ireland into law."
37,38,because of his detention.,38,00.txt,BBC Newsnight takes a look back at some of the key stories from the past 24 hours.
38,39, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,39,00.txt,"The European Commission has received a report from the United Nations High Commissioner for Human Rights, Zeid Raad al-Hussein, on the situation in Syria."
39,40,The Commission concludes that the applicant has complied with the requirements of Article 26 (Art. 26) of the Convention.,40,00.txt,The European Commission has upheld the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR
40,41,"These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",41,00.txt,"The Court of Justice of the European Union (CJEU) has held that complaints made under the European Convention on Human Rights (ECHR) against the Member States of the European Union cannot be treated as ""manifestly ill-founded""."
41,42,The Commission notes that the applicant's conviction involved his writings.,42,00.txt,The European Court of Human Rights (ECHR) has upheld the decision of the European Court of Human Rights (ECHR) to uphold the conviction of a man for indecency with a child.
42,43,"The applicant does not dispute the existence of a legal basis for his conviction, but he maintains that the conviction and punishment inflicted upon him were without any legitimate purpose",43,00.txt,The Court of Appeal is considering an appeal by a man who was found guilty of raping a 15-year-old girl.
43,44,under the Convention and alleges that they constituted a kind of reprisal for his assertion of his Turkish ethnic origin.,44,00.txt,Turkey's Foreign Minister Mevlut Cavusoglu has filed a complaint against the UK at the European Court of Human Rights (ECHR) for alleged breaches of the European Convention on Human Rights (ECHR).
44,45,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.,45,00.txt,"In his appeal to the European Court of Human Rights (ECHR) against his conviction and three-year prison sentence for inciting racial hatred, former South African President FW de Klerk says his conviction was based on a flawed legal theory."
45,46,He stresses the key role played by freedom of expression in a democratic society. ,46,00.txt,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the role of the media in shaping public opinion."
46,47,"because at no time at first instance, on appeal or in cassation did the applicant raise the issues under the Convention, even in substance.",47,00.txt,The Court of Appeal has dismissed an appeal against a decision by the Court of Appeal to uphold a decision by the European Court of Human Rights (ECHR) to uphold a decision by the European Court of Human Rights (ECHR) to uphold a decision by the European Court of Human Rights (ECHR) to
47,48,"The Government next submits, in respect of Article 26 (Art. 26) of the Convention",48,00.txt,The UK has notified the European Court of Justice (ECJ) of its intention to withdraw from the European Convention on Human Rights.
48,49," In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,",49,00.txt,"The Secretary of State for Environment, Food and Rural Affairs has responded to an application for leave to appeal against the decision of the Court of Appeal to uphold the decision of the Court of Appeal to uphold the decision of the Court of Appeal to uphold the decision of the Court of Appeal to uphold the decision of the Court"
49,50,"it is sufficient that the complaints intended to be made subsequently before the Convention organs should have been raised at least in substance and in compliance with the formal requirements and time-limits laid down in domestic law"" (Eur. Court H.R., Castells judgment of 23 April 1992, Series A no. 236, p. 19, para. 27).",50,00.txt,The European Court of Human Rights (ECHR) has upheld a decision by the Court of Justice of the European Union (CJEU) to dismiss an appeal by the European Commission against a decision by the European Court of Human Rights (ECHR) to uphold a ruling by the European Court of Human Rights (EC
50,51,"Therefore, ""he provided the national courts with the opportunity which is in principle intended to be afforded to Contracting States by Article 26 (Art. 26), namely the opportunity of putting right the violations alleged against them"" (Eur. Court H.R., Guzzardi judgment of 6 November 1980, Series A no. 39, p. 27, para. 72).",51,00.txt,"The United Nations Secretary-General, Boutros Boutros-Ghali, was of the view that the international law of the United Nations should be obeyed."
51,52,that it would not be justified to strike it off the list of cases.,52,01.txt,The European Court of Human Rights (ECHR) has rejected an appeal against a ruling by the European Court of Human Rights (ECHR) that the death penalty is unconstitutional.
52,53,"The Commission concludes that the applicant may be said to have complied with the domestic remedies' rule laid down in Article 26 (Art. 26) of the Convention and, consequently, the application cannot be rejected under Article 27 para. 3 (Art. 27-3).
",53,01.txt,The European Commission has ruled in favour of an application by the UK to join the European Convention on Human Rights.
53,54,"The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts. However, this is far from clear at the present stage of the proceedings, and it is therefore impossible to reject the application on this ground.",54,01.txt,The European Commission has rejected the Government's argument that the European Court of Justice (ECJ) has no jurisdiction to hear its case against the EU's single market.
54,55,"The Commission considers, in the light of the parties' submissions, that the case raises complex issues of law and fact under the Convention, the determination of which should depend on an examination of the merits of the application as a whole. ",55,01.txt,The European Commission has decided not to rule on the merits of the case brought by the UK against the European Court of Human Rights under the European Convention on Human Rights.
55,56,The Commission notes the declaration by the applicant's representatives that the applicant's father wishes to pursue proceedings before the Commission.,56,01.txt,The European Commission has opened an investigation into an alleged breach of the Commission's rules on the protection of children.
56,57,"Moreover, it finds that, in view of the serious nature of the complaints and their connection with the general situation in South-East Turkey,",57,01.txt,The European Court of Human Rights (ECHR) finds that there is insufficient evidence to support the complaints made by the people of South-East Turkey against the Turkish authorities.
57,58,the application is of such general interest ,58,01.txt,An application has been made to the European Court of Human Rights (ECHR) to hear an appeal against the decision by the European Court of Human Rights (ECHR) to uphold the decision by the European Court of Human Rights (ECHR) to uphold the decision by the European Court of Human Rights (E
58,59, it anyway finds that the applicant has done all that could be expected in the circumstances.,59,01.txt,"The Court of Appeal has rejected an appeal against a decision by the Secretary of State for Work and Pensions, Iain Duncan Smith, to dismiss an application for leave to appeal against a decision by the Secretary of State for Work and Pensions, Iain Duncan Smith, to dismiss an application for leave to appeal against a decision by"
59,60,"Moreover, when asked to sign a statement, he had answered that he could not sign because he could not move his hands.",60,01.txt,"In an interview with the BBC's Panorama programme, former Pakistani Prime Minister Nawaz Sharif said he could not sign a statement because he could not move his hands."
60,61, The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured. ,61,01.txt,The European Court of Human Rights (ECHR) has ruled in favour of a Moroccan man who claimed he had been tortured by the Moroccan authorities.
61,62,"It is not possible to establish in detail what happened during the applicant's meeting with the public prosecutor, but the Commission finds no reason to doubt that during their conversation there were elements which should have made the public prosecutor initiate an investigation or, at the very least, try to obtain further information from the applicant about his state of health or about the treatment to which he had been subjected.",62,01.txt,The European Commission finds no reason to doubt that the public prosecutor in charge of the investigation into the allegations made by the applicant in his complaint to the European Court of Human Rights did not take the necessary steps to investigate the case properly.
62,63,"Moreover, his family had also been affected by the actions of the authorities insofar as his father and one of his brothers had been detained for short periods at about the same time, and the applicant himself was hospitalised for two weeks after his release.",63,01.txt,The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of
63,64,"The threats to which the applicant claimed to have been exposed after he had complained to the Commission, as well as his tragic death in circumstances which have so far not been fully clarified, are further elements which may at least support the view that the pursuance of remedies may not be devoid of serious risks.",64,01.txt,The Court of Appeal's decision not to grant leave to appeal against the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of
64,65,"The Commission does not deem it necessary to determine whether there exists an administrative practice on the part of Turkish authorities tolerating abuses of human rights of the kind alleged by the applicant, because",65,01.txt,The European Commission has decided not to open an in-depth investigation into alleged human rights abuses by Turkish security forces during the failed coup attempt against President Recep Tayyip Erdogan in July 2016.
65,66," The applicant submitted that any purported remedy is illusory, inadequate and ineffective.",66,01.txt,The Court of Appeal has rejected an application for leave to appeal from a decision by the High Court to dismiss an appeal from a decision by the Court of Appeal to dismiss an appeal from a decision by the High Court to dismiss an appeal from a decision by the Court of Appeal to dismiss an appeal from a decision by
66,67,"He did not deny that the procedures identified by the Government are formally part of the Turkish legal structure, but he contended that the Government have not shown how such procedures could conceivably be effective for the specific circumstances of the present case.",67,01.txt,"The Turkish Foreign Minister, Ahmet Davutoglu, has told the House of Commons that the Turkish legal system is not broken."
67,68,The applicant considered that none of the remedies suggested by the Government could be regarded as effective because the scale of torture committed with impunity by agents of the State in detention centres is such that this must be considered high-level Government policy - an administrative practice - in regard to which all remedies are theoretical and irrelevant.,68,01.txt,"The Court of Appeal has rejected an application for leave to appeal against a decision by the Secretary of State for Foreign and Commonwealth Affairs that the remedies suggested by the Government to prevent torture in Iraq were ""theoretical and irrelevant""."
68,69,"This has been confirmed by such bodies as the European Committee for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment, which, in its public statement of 15 December 1992, concluded that the practice of torture and other forms of severe ill-treatment of persons in police custody remains widespread in Turkey, and that such methods are applied to both ordinary criminal suspects and persons held under anti-terrorist provisions (p. 6 para. 21).",69,01.txt,Torture is still widespread in Turkey.
69,70, The purported remedies were thus ineffective for the following reasons:,70,01.txt,"In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at some of the myths and misconceptions surrounding the use of so-called ""magic bullets"" to combat HIV/AIDS."
70,71,the limitations on rights and remedies created by the state of emergency;,71,01.txt,A chronology of key events:
71,72, an administrative practice of torture in Turkish detention centres;,72,01.txt,The European Court of Human Rights (ECHR) has criticised Turkey for failing to prevent torture in its prisons.
72,73,"the lack of genuine investigations by public prosecutors and other competent authorities, who ignore the evidence of their own eyes, as in this case, and either do nothing or simply take evidence from the members of the police or security forces;",73,01.txt,"The International Criminal Court (ICC) has said it is ""deeply concerned"" by the slow pace of justice in the case of the alleged abduction and murder of British aid worker Alan Henning in Libya."
73,74," even if an investigation is made, the lack of effective action being taken afterwards;",74,01.txt,The BBC has called for an independent investigation into the BBC's handling of the Hillsborough disaster.
74,75,an official attitude of legal unaccountability towards the security forces;,75,01.txt,A chronology of key events:
75,76," the positive discouragement of those who do wish to seek remedies, as has been demonstrated so tragically in the present case;",76,01.txt,It is with great sadness that I write to express my sympathy to the family and friends of those who have died in this tragic accident.
76,77,"an administrative practice of not respecting the rule under Article 13 (Art. 13) of the Convention which requires the provision of effective domestic remedies; and

-     whether or not there is an administrative practice, domestic remedies were ineffective in this case, owing to the failure of the legal system to provide redress.
",77,01.txt,The Court of Justice of the European Union (CJEU) has upheld a decision by the Court of Justice of the European Union (CJEU) that an administrative practice of not respecting the rule under Article 13 (Art.
77,78,"At present 16 lawyers are facing criminal charges, which include drawing up documents belittling the Turkish State and faxing them to human rights organisations in Europe. ",78,01.txt,The European Court of Human Rights (ECHR) has criticised Turkey's crackdown on human rights lawyers.
78,79,This is demonstrated in other cases pending before the Commission.,79,01.txt,The European Court of Justice (ECJ) has ruled in favour of the European Commission (EC) in a case brought by the UK against the European Union (EU).
79,80,Another key group in guaranteeing effective investigation and protection is the medical profession.,80,01.txt,The police are the first line of defence against organised crime.
80,81,"Doctors must be free to give
honest accounts of what they have found in their investigations.",81,01.txt,"BBC News takes a look at some of the issues raised by the government's decision to scrap the independent medical watchdog, the Care Quality Commission (CQC)."
81,82,"However, the applicant alleged that doctors have been intimidated, as
was the case of the doctor whom he consulted at the Dicle Medical Faculty.",82,01.txt,The High Court has dismissed an application for leave to appeal against the decision of the Court of Appeal to uphold the decision of the High Court to uphold the decision of the Court of Appeal to uphold the decision of the Court of Appeal to uphold the decision of the Court of Appeal to uphold the decision of the Court of
82,83,the Government have referred to a number of judgments by the administrative and criminal courts.,83,01.txt,The House of Commons has been told that the Attorney General has referred a number of cases to the Court of Appeal.
83,84,"Some of these decisions concern cases in which the State Council has ordered the prosecution of public officials for ill-treating people in custody, despite the initial view of the local administrative council that the cases were unsuitable for criminal proceedings.",84,01.txt,The European Court of Human Rights (ECHR) has ruled that a number of decisions made by the Irish State Council are unlawful.
84,85,"the second requirement of Article 26 (Art. 26) of the Convention, namely that of lodging the application within six months of the final effective decision or, if none, within six months of the events of which complaints are made.

",85,01.txt,The European Court of Human Rights (ECHR) has upheld the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European
85,86,"The present application
was lodged on 3 May 1993, i.e. within the six month period. ",86,01.txt,An application has been made to the Court of Appeal for the quashing of a decision of the High Court of Ireland which found that the appellant was not entitled to a judicial review of the decision of the Court of Appeal which found that he was not entitled to a judicial review of the decision of the Court of Appeal
86,87,"The Government submit that it is generally accepted in the comparative and international law on terrorism, authorising ""certain adaptations of the liberal model"", that restrictions on Convention rights will be deemed necessary in a democratic society threatened by terrorist violence, as being proportionate to the aim of protecting public order.",87,01.txt,The Court of Justice of the European Union (CJEU) will hear the appeal of the UK against a ruling by the European Court of Human Rights (ECHR) that the European Convention on Human Rights (ECHR) should not apply in the UK.
87,88," The threat posed to Turkey by the PKK and its affiliations is internationally recognised, as is the need to react firmly to it. ",88,01.txt,"Turkey's foreign minister, Ahmet Davutoglu, has told the BBC's HARDtalk programme that his country is prepared to go to war with the Kurdistan Workers' Party (PKK)."
88,89,In this respect the Government assert that the powers exercised by the police while the applicant was in their custody did not exceed the margin of appreciation conferred on States by the Convention.,89,01.txt,The Court of Appeal has upheld the decision of the High Court to dismiss an appeal brought by a man against the decision of the police to remand him in custody.
89,90,They add that his death was not the work of any State agent but that of terrorist in-fighting.,90,01.txt,"The White House says President Barack Obama is ""deeply saddened"" by the death of Anwar al-Awlaki."
90,91,"As to Articles 6 and 13 (Art. 6, 13) of the Convention, the Government submit that Turkish law guarantees several remedies (as described above at pp. 5-6) without discrimination.",91,01.txt,The Government of Turkey has submitted to the European Court of Human Rights (ECHR) a response to the complaint made by the Palestinian Authority against Turkey under the Convention on the Rights of the Child.
91,92,The application principally concerns torture and inhuman conditions of detention.,92,01.txt,An application has been made to the European Court of Human Rights (ECHR) for a ruling on the legality of detention without trial in Senegal.
92,93,"It involves rights under Article 3 (Art. 3) of the Convention which is absolute, unqualified and non-derogable.",93,01.txt,The European Court of Human Rights (ECHR) has ruled in favour of the UK in a case brought against it under the European Convention on Human Rights (ECHR).
93,94," As regards the complaint under Article 5 para. 3 (Art. 5-3) of the Convention and the derogation under Article 15 (Art. 15), the applicant contested the necessity of a measure permitting detention for as long as 30 days without any of the basic safeguards against abuse, which were deemed to be essential by the Convention organs",94,01.txt,The Court of Justice of the European Union (CJEU) has dismissed a complaint brought against the European Commission under the European Convention on Human Rights (ECHR).
94,95,"(Eur. Court H.R., Brannigan and McBride judgment of 26 May 1993, Series A no. 258- B, pp. 55-56, paras. 62-66).",95,01.txt,The Court of Appeal has upheld a decision by the High Court to dismiss an appeal by a man who claimed he was the victim of racial discrimination.
95,96,The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts.,96,01.txt,The European Commission has rejected an application by the UK Government to have the European Court of Human Rights (ECHR) review a ruling by the European Court of Justice (ECJ) that the EU's single market was unlawful.
96,97,"However, this is far from clear at the present stage of the proceedings,",97,01.txt,The European Court of Justice (ECJ) is expected to rule this week on the legality of the UK's decision to leave the European Union.
97,98,"It is furthermore established that the burden of
proving the existence of available and sufficient domestic remedies
lies upon the State invoking the rule",98,02.txt,The Court of Appeal for the Supreme Court has held that the State has no power to invoke the European Convention on Human Rights (ECHR) in relation to domestic violence.
98,99,"(cf. Eur. Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no. 77, p.
18, para. 36, and Nos. 14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R. 61 p. 250, 262).",99,02.txt,The European Court of Human Rights (ECHR) has ruled that the European Convention on Human Rights (ECHR) does not apply to Turkey.
99,100,"In the present case, the Government have not provided any
additional information which might lead the Commission to depart from
the above conclusions.",100,02.txt,The Commission has concluded that it is in the public interest for the UK to remain in the European Union.
100,101,"The Commission concludes that this application cannot be
rejected for non-exhaustion of domestic remedies under Articles 26 and
27 para. 3 (Art. 26, 27-3) of the Convention.",101,02.txt,The European Commission has received an application for leave to appeal against the decision of the Court of Justice of the European Union (CJEU) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of
101,102,"The Commission recalls that Article 26 (Art. 26) of the
Convention only requires the exhaustion of such remedies which relate
to the breaches of the Convention alleged and at the same time can
provide effective and sufficient redress.",102,02.txt,The European Commission has taken note of the decision by the Court of Justice of the European Union (CJEU) to grant leave to appeal against the decision by the European Court of Human Rights (ECHR) to grant leave to appeal against the decision by the European Court of Human Rights (ECHR) to grant
102,103,"The Commission is not satisfied in view of the
delays involved that this inquiry can be considered as furnishing an
effective remedy for the purposes of Article 26 (Art. 26) of the
Convention.",103,02.txt,The European Commission has opened an inquiry into whether the European Court of Human Rights (ECHR) has jurisdiction to hear the case brought by the Republic of Ireland against the European Court of Human Rights (ECHR).
103,104,"The Commission has examined whether the applicant has complied
with the requirement imposed by Article 26 (Art. 26) of the Convention
that an application must be introduced within six months of the final
decision taken in respect of the complaints.",104,02.txt,The European Commission has announced that it has opened an investigation into a complaint brought against the European Commission under the European Convention on Human Rights.
104,105,"In the present case, the Commission observes that whereas in his
original application the applicant stated that his house was burnt down
on 3 January 1994, it appears that the incident under investigation by
the public prosecutor of Kulp district and the Kulp District
Administrative Board occurred on 13 November 1993.",105,02.txt,The European Court of Human Rights (ECHR) has dismissed an appeal against a decision by the Kulp District Administrative Board to quash an application by a man for a judicial review of his conviction for arson.
105,106,"The Commission
found above that the applicant is not required to pursue domestic
remedies in light of their apparent ineffectiveness.",106,02.txt,The European Commission has upheld a decision by the Court of Justice of the European Union (CJEU) to uphold a decision by the European Court of Human Rights (ECHR) to uphold a decision by the European Court of Human Rights (ECHR) to uphold a decision by the European Court of Human Rights (
106,107,"However,
special considerations could apply in exceptional cases where an
applicant first avails himself of a domestic remedy and only at a later
stage becomes aware, or should have become aware, of the circumstances
which make that remedy ineffective.",107,02.txt,The Court of Appeal has upheld a decision by the High Court to dismiss an application for leave to appeal against a finding that a domestic remedy provided by the appellant was ineffective.
107,108,"becomes aware, or should have become aware, of the circumstances
which make that remedy ineffective.",108,02.txt,One of the most effective ways of preventing the spread of HIV is to prevent people from getting infected in the first place.
108,109,"The case-law of the Commission establishes that where no domestic
remedy is available, the six months period runs from the act complained
of",109,02.txt,The European Court of Human Rights (ECHR) has upheld a ruling by the European Court of Human Rights (ECHR) that the EU's anti-discrimination law does not apply in cases where there is no domestic remedy available.
109,110,"(see eg.  No. 10530/83, Dec. 16.5.85, D.R. 42 p. 171).",110,02.txt,The Queen's Speech was published in the Daily Telegraph on 16 December 1983.
110,111,"the alleged
events seem to have occurred in November 1993 and the investigation has
not yet been concluded. The Commission is not satisfied in view of the
delays involved that this inquiry can be considered as furnishing an
effective remedy for the purposes of Article 26 (Art. 26) of the
Convention.",111,02.txt,The European Court of Human Rights (ECHR) has found that the European Commission has failed to carry out an effective remedy under the Convention on the Rights of the Child.
