id,argument
126,"Any purported remedy is illusory, inadequate
and ineffective since, inter alia, the operation in question in this
case was officially organised, planned and executed by agents of the
State and having regard, inter alia, to the situation in South-East
Turkey which is such that potential applicants have a well-founded fear
of the consequences if they should pursue remedies."
127,"In this context the
applicants also allege a lack of genuine investigations by public
prosecutors and other competent authorities; the absence of any cases
showing the payment of adequate compensation to villagers for the
destruction of their homes and villages, or for their expulsion; an
official attitude of legal unaccountability towards the security forces
and the lack of any prosecutions against members of the security forces
for the alleged offences connected with the destruction of villages and
forcible expulsions."
128," The Commission concludes that this application cannot be rejected
for non-exhaustion of domestic remedies under Articles 26 and 27 para.
3 (Art. 26, 27-3) of the Convention."
129,"The Commission considers, in the light of the parties'
submissions, that the case raises complex issues of law and fact under
the Convention, the determination of which should depend on an
examination of the merits of the application as a whole. The Commission
concludes, therefore, that the application is not manifestly ill-
founded, within the meaning of Article 27 para. 2 (Art. 27-2) of the
Convention."
130,"Article 5 para. 5 (Art. 5-5) provides as follows:

      ""Everyone who has been the victim of arrest or detention in
      contravention of the provisions of this Article shall have an
      enforceable right to compensation."""
131,The applicant submits that the effect of Section 108 of the Courts and Legal Services Act 1991 is to deprive him of the remedy to which he had previously been entitled.
132,"The applicant submits that, although domestic law categorises the proceedings at issue in the present case as civil, both the nature of the proceedings and the actual penalty imposed indicate that a criminal charge was in fact determined."
133,"This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of
Article 27 para. 2 (Art. 27-2) of the Convention."
134,This part of the application can therefore also not be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.
135,"After a preliminary examination of the complaints under Article 5 para. 1 (a) and (b) (Art. 5-1-a, 5-1-b) of the Convention, the Commission finds that they raise complex issues of fact and law which must be examined on the merits."
136,The Commission recalls that under Article 5 para. 5 (Art. 5-5) of the Convention the right to compensation is conditional on a breach of one of the paragraphs of Article 5 (Art. 5).
137," He considers that, whatever the nature of the proceedings, they were so complex as to require proper legal representation, especially regarding the alternatives to immediate imprisonment."
138,"He alleges a violation of Article 6 (Art. 6) of the Convention.

      Article 6 (Art. 6) of the Convention provides, so far as relevant, as follows:

      ""1.  In the determination of his civil rights and obligations or
      of any criminal charge against him, everyone is entitled to a
      fair and public hearing within a reasonable time by an
      independent and impartial tribunal established by law...

      3.  Everyone charged with a criminal offence has the following
      minimum rights:

      (c)   to defend himself in person or through legal assistance of
      his own choosing or, if he has not sufficient means to pay for
      legal assistance, to be given it free when the interests of
      justice so require."""
139,The Commission finds that this complaint also raises complex issues of fact and law which must be examined on the merits. This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention either.
140,"He submits that the present case cannot be distinguished from the R. v. Manchester City Magistrates' Court ex parte Davies case,"
141,"The applicant notes that in its judgment in the present case the Divisional Court answered the Magistrates' questions, ""Whether before issuing the ... warrant, (they) conducted an adequate inquiry into the appellant's means"", and ""Whether the following finding of fact can be supported by the evidence before the Magistrates' Court, namely that the applicant's failure to pay which led to the liability order being made was due to his culpable neglect"", in the negative."
142,"Article 5 para. 1 (Art. 5-1) of the Convention provides, so far as relevant, as follows:

      ""1. Everyone has the right to liberty and security of person. No
      one shall be deprived of his liberty save in the following cases
      and in accordance with a procedure prescribed by law:

      (a)  the lawful detention of a person convicted by a competent
      court;

      (b)  the lawful arrest or detention of a person for non-
      compliance with the lawful order of a court or in order to secure
      the fulfilment of any obligation prescribed by law;..."""
143,"They rely on the absence of any suggestion in the High Court's judgment that the applicant's detention was unlawful."
144,The Commission recalls that Article 26 (Art. 26) of the Convention only requires the exhaustion of such remedies which relate to the breaches of the Convention alleged and at the same time can provide effective and sufficient redress.
145,The Commission notes that in the context of the section 9 powers the Secretary of State has a very wide discretion.
146,It appears that he has only exercised his discretion under section 9 in five cases and that there is no example of any enforcement of those directions being pursued in the courts. 
147,"The Commission recalls that in the case of
Temple v. the United Kingdom (No. 10530/83, Dec. 16.5.85, D.R. 42 p. 171) the Commission held that recourse to a purely discretionary power on the part of the Secretary of State did not constitute an effective domestic remedy."
148,"It considers that the applicant's complaints raise serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits. "
149,as required by Article 26 (Art. 26) of the Convention
150,"since she has not applied to the Secretary of State to exercise his power under section 9 of the Caravan Sites Act 1968 to direct a local authority to comply with its statutory duty to provide such sites and if necessary, to enforce such directions in the courts."
151,"The Secretary of State's power under section 9 is, she contends, discretionary and rarely exercised."
152,"To the extent that there might have been any interference with her rights under Article 8 para. 1 (Art. 8-1), the Government consider that the refusal of planning permission and issue of the enforcement notices are justified by the interests of public safety on the road, the economic well-being of the country and the protection of the environment."
153,"As for the framework of regulation, including the designation system, this is stated to represent a proportionate response to the need to protect public safety on the roads as well as the rights of others."
154,under Article 8 (Art. 8) of the Convention.
155," As a result, the applicant contends that she has nowhere she can legally or safely go."
156,"She submits that there is an acknowledged shortfall of sites for gypsies in South Cambridgeshire and that local authorities are failing to fulfil their statutory duty to provide sites."
157,"The applicant also contends that it is a practical impossibility for her to station her caravans on her sister's site and that even if there were vacant pitches on the nearby official site, it is overcrowded and has a reputation for violence which renders it an unsafe location for a single woman living alone with her children."
158,"Further, the designation system which discriminates against gypsies prevents her moving onto unoccupied land or stationing her caravans near the highway."
159,"In these circumstances, the Commission finds that the application cannot be declared inadmissible for non-exhaustion of domestic remedies."
160,It follows that the application cannot be dismissed as manifestly ill-founded.
161,"(cf. Eur. Court. H.R., Deweer judgment of 27 February 1980, Series A no. 35, p. 15, para. 26, and No. 9013/80, Dec. 11.12.82, D.R. 30 p. 96, at p. 102)."
162,"It is furthermore established that the burden of proving the existence of available and sufficient domestic remedies lies upon the State invoking the rule (cf. Eur. Court. H.R., Deweer judgment of 27 February 1980, Series A no. 35, p. 15, para. 26, and No. 9013/80, Dec. 11.12.82, D.R. 30 p. 96, at p. 102)."
163,The Commission finds that the suggested application for discretionary relief in the instant case cannot do so either.
164,"An applicant does not need to exercise remedies which, although theoretically of a nature to constitute remedies, do not in reality offer any chance of redressing the alleged breach (cf. No. 9248/81, Dec. 10.10.83, D.R. 34 p. 78)."
165, since as a matter of fact she was and is able to live either on the neighbouring land lawfully occupied by her sister or to apply for a place on one of the many other local authority and private gipsy caravan sites throughout Cambridgeshire.
166,She also has not been subject to any of the criminal sanctions which may applied under the designation system.
167,"Further, they point out that applicant took up residence on her land without prior planning permission."
168,"She invokes Article 8 (Art. 8) of the Convention which provides:

      ""1.  Everyone has the right to respect for his private and
      family life, his home and his correspondence.

      2.   There shall be no interference by a public authority with
      the exercise of this right except such as is in accordance with
      the law and is necessary in a democratic society in the interests
      of national security, public safety or the economic well-being
      of the country, for the prevention of disorder or crime, for the
      protection of health or morals, or for the protection of the
      rights and freedoms of others."""
169,"The Commission has taken cognizance of the submissions of the parties. It considers that the applicant's complaint raises serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits. "
170," As regards the applicant's complaints concerning conjugal rights, the Commission finds no indication that on the facts of the present case the applicant enjoyed any ""civil right"" with respect to the enjoyment of conjugal rights in the absence of the consent of his wife."
171,"As regards the applicant's complaints concerning the decisions of the courts in the criminal proceedings, the Commission recalls that, in accordance with Article 19 (Art. 19) of the Convention, its only task is to ensure the observance of the obligations undertaken by the
Parties in the Convention."
172,"In particular, it is not competent to deal with an application alleging that errors of law or fact have been committed by domestic courts, except where it considers that such errors might have involved a possible violation of any of the rights and freedoms set out in the Convention."
173,"The Commission refers, on this point, to its constant case-law (see eg. No. 458/59, X v. Belgium, Dec.
29.3.60, Yearbook 3 pp.222, 236; No. 5258/71, X v. Sweden, Dec. 8.2.73,
Collection 43 pp.71, 77; No. 7987/77, X v. Austria, Dec. 13.12.79, D.R.
18 pp. 31, 45)."
174,He relies on Article 6 para. 1 (Art. 6-1) of the Convention.
175,"He claims that he was at no time afforded a proper determination of his civil rights and obligations with particular reference to the conjugal rights of both parties to a marriage and, moreover, that he was denied a fair trial of the charge against him by reason of the failure of the courts to observe, and give proper effect to, the statutory definition of rape (as `unlawful sexual intercourse') in section 1 (1) of the Sexual
Offences (Amendment) Act 1976."""
176,The general rule that a husband could not commit the offence of rape against his wife was universally accepted until 1990.
177,"While exceptions to this principle had developed, these were strictly limited to circumstances where, for example, there had been a court order or formal separation agreement."
178,The facts of this case do not disclose any mutual agreement between the applicant and his wife.
179,"There was no authority for the proposition that a wife could unilaterally withdraw her consent."
180,"Furthermore, in the applicant's case, the Court of Appeal and the House of Lords acknowledged that they were changing the law, not merely clarifying it."
181,"There was case-law indicating that a husband could be guilty of raping his wife where a court had issued a decree nisi of divorce or a non-molestation order; where the husband had given an undertaking in lieu of an injunction not to molest his wife; where there was an agreement express or implied between the parties which made it clear that the implied consent of the wife was revoked; and where there had been a withdrawal of either party from cohabitation accompanied by a clear indication that consent to sexual intercourse had been terminated.
"
182," was revoked; and where there had been a withdrawal of either party from cohabitation accompanied by a clear indication that consent to sexual intercourse had been terminated.

      The Government contend that in the present case the facts indicated that the applicant's wife had revoked her consent by mutual agreement with the applicant."
183,"Even if the decisions of the courts were based rather on the fact that a wife was able unilaterally to withdraw her consent, this was a reasonable interpretation of the existing law in the light of changing social circumstances and clarified the existing elements of the offence."
184," As regards the applicant's complaints concerning conjugal rights, the Commission finds no indication that on the facts of the present case the applicant enjoyed any ""civil right"" with respect to the enjoyment of conjugal rights in the absence of the consent of his wife."
185," It follows that this part of the case is manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.
"
186,It follows that this part of the application cannot be dismissed as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.
187," The Court recalls that the scope of its jurisdiction is determined by the Commission’s decision on admissibility and that it has no power to entertain new and separate complaints which were not raised before the Commission (see, inter alia, the Singh v. the United Kingdom judgment of 21 February 1996, Reports of Judgments and Decisions 1996-I, p. 293, para. 44)."
188,"However, while Mr Findlay in his application to the Commission may not expressly have invoked his rights under Article 6 para. 1 of the Convention (art. 6-1) to a ""public hearing"" and a ""tribunal established by law"", he does appear to have raised in substance most of the matters which form the basis of his complaints in relation to these two provisions."
189,"Thus, in the Commission’s decision on admissibility, he is reported as referring in particular to the facts that the members of the court martial were appointed ad hoc, that the judge advocate’s advice on sentencing was not disclosed, that no reasons were given for the decisions taken by the court-martial board and the confirming and reviewing officers, and that the post-hearing reviews were essentially administrative in nature and conducted in private (see the Commission’s decision on admissibility, application no. 22107/93, pp. 32 35)."
190,"since they involved the determination of Mr Findlay’s sentence following his plea of guilty to criminal charges; indeed, this point was not disputed before it"
191,"(see the Engel and Others v. the Netherlands judgment of 18 June 1976, Series A no. 22, pp. 33-36, paras. 80-85, and the Eckle v. Germany judgment of 15 July 1982, Series A no. 51, pp. 34-35, paras. 76-77)."
192,"because, inter alia, all the officers appointed to it were directly subordinate to the convening officer who also performed the role of prosecuting authority"
193,"The lack of legal qualification or experience in the officers making the decisions either at the court martial or review stages made it impossible for them to act in an independent or impartial manner."
194,"because the statutory framework according to which it proceeded was too vague and imprecise; for example, it was silent on the question of how the convening officer, confirming officer and reviewing authorities were to be appointed."
195,"  The Court observes that the convening officer, as was his responsibility under the rules applicable at the time, played a significant role before the hearing of Mr Findlay’s case."
196,He decided which charges should be brought and which type of court martial was most appropriate.
197,"He convened the court martial and appointed its members and the prosecuting and defending officers (see paragraphs 14-15 and 36-37 above)."
198,"Under the rules then in force, he had the task of sending an abstract of the evidence to the prosecuting officer and the judge advocate and could indicate passages which might be inadmissible."
199,"He procured the attendance at trial of the witnesses for the prosecution and those ""reasonably requested"" by the defence."
200,"His agreement was necessary before the prosecuting officer could accept a plea to a lesser charge from an accused and was usually sought before charges were withdrawn (see paragraphs 38 and 39 above)."
201," The question therefore arises whether the members of the court martial were sufficiently independent of the convening officer and whether the organisation of the trial offered adequate guarantees of impartiality."
202," It is noteworthy that all the members of the court martial, appointed by the convening officer, were subordinate in rank to him. Many of them, including the president, were directly or ultimately under his command (see paragraph 16 above)."
203,"Furthermore, the convening officer had the power, albeit in prescribed circumstances, to dissolve the court martial either before or during the trial (see paragraph 40 above)."
204,"(see, mutatis mutandis, the Sramek v. Austria judgment of 22 October 1984, Series A no. 84, p. 20, para. 42)."
205,". Since all the members of the court martial which decided Mr Findlay’s case were subordinate in rank to the convening officer and fell within his chain of command, Mr Findlay’s doubts about the tribunal’s independence and impartiality could be objectively justified "
206," In addition, the Court finds it significant that the convening officer also acted as ""confirming officer""."
207,"The Court further agrees with the Commission that these fundamental flaws in the court-martial system were not remedied by the presence of safeguards, such as the involvement of the judge advocate, who was not himself a member of the tribunal and whose advice to it was not made public (see paragraphs 45-46 above), or the oath taken by the members of the court-martial board (see paragraph 35 above)."
208,Nor could the defects referred to above (in paragraphs 75 and 77) be corrected by any subsequent review proceedings. 
209,"(see the De Cubber v. Belgium judgment of 26 October 1984, Series A no. 86, pp. 16-18, paras. 31-32)."
