kp,argument,match_score
The applicant has therefore exhausted domestic remedies and also.,the limitations on rights and remedies created by the state of emergency;,0.999686598777771
The applicant also complains of degrading treatment contrary to.,an administrative practice of torture in Turkish detention centres;,0.9993199110031128
No such action has been brought.,"even if an investigation is made, the lack of effective action being taken afterwards;",0.9996998310089112
The applicant has therefore exhausted domestic remedies and also.,"the positive discouragement of those who do wish to seek remedies, as has been demonstrated so tragically in the present case;",0.9972469806671144
The applicant has therefore exhausted domestic remedies and also.,"an administrative practice of not respecting the rule under Article 13 (Art.,13) of the Convention which requires the provision of effective domestic remedies; and.,- whether or not there is an administrative practice, domestic remedies were ineffective in this case, owing to the failure of the legal system to provide redress.",0.999685764312744
"the ""protection of the reputation or rights of others"".","At present 16 lawyers are facing criminal charges, which include drawing up documents belittling the Turkish State and faxing them to human rights organisations in Europe.",0.9776341915130616
Everyone has the right to the freedom of expression.,Doctors must be free to give.,0.999706208705902
"(see, inter alia and mutatis mutandis, the following judgments:",the Government have referred to a number of judgments by the administrative and criminal courts.,0.9988986253738404
"Within six months of this date, i.e.","26) of the Convention, namely that of lodging the application within six months of the final effective decision or, if none, within six months of the events of which complaints are made.",0.999326467514038
"Within six months of this date, i.e.",within the six month period.,0.9996600151062012
"Thus, they cannot, on arguable grounds, claim.",In this respect the Government assert that the powers exercised by the police while the applicant was in their custody did not exceed the margin of appreciation conferred on States by the Convention.,0.9070364832878112
The applicant has therefore exhausted domestic remedies and also.,"As to Articles 6 and 13 (Art.,6, 13) of the Convention, the Government submit that Turkish law guarantees several remedies (as described above at pp.",0.997294008731842
The applicant also complains of degrading treatment contrary to.,The application principally concerns torture and inhuman conditions of detention.,0.999739706516266
Everyone has the right to the freedom of expression.,"It involves rights under Article 3 (Art.,3) of the Convention which is absolute, unqualified and non-derogable.",0.999660849571228
Regarding the alleged violation of Article 5 para.,"As regards the complaint under Article 5 para.,5-3) of the Convention and the derogation under Article 15 (Art.",0.9996961355209352
"(see, inter alia and mutatis mutandis, the following judgments:","Court H.R., Brannigan and McBride judgment of 26 May 1993, Series A no.",0.991375744342804
"Thus, they cannot, on arguable grounds, claim.",The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts.,0.9857616424560548
The applicant has therefore exhausted domestic remedies and also.,proving the existence of available and sufficient domestic remedies.,0.9997194409370422
The applicant has therefore exhausted domestic remedies and also.,rejected for non-exhaustion of domestic remedies under Articles 26 and.,0.9997219443321228
The applicant has therefore exhausted domestic remedies and also.,"The Commission recalls that Article 26 (Art.,Convention only requires the exhaustion of such remedies which relate.,to the breaches of the Convention alleged and at the same time can.",0.9997133612632751
"Within six months of this date, i.e.","The Commission has examined whether the applicant has complied.,with the requirement imposed by Article 26 (Art.,that an application must be introduced within six months of the final.",0.9996732473373412
The applicant has therefore exhausted domestic remedies and also.,"applicant first avails himself of a domestic remedy and only at a later.,which make that remedy ineffective.",0.9997071623802184
The applicant has therefore exhausted domestic remedies and also.,which make that remedy ineffective.,0.9740298390388488
"Within six months of this date, i.e.","The case-law of the Commission establishes that where no domestic.,remedy is available, the six months period runs from the act complained.",0.9682884216308594
The applicant has therefore exhausted domestic remedies and also.,once it must have become apparent that no redress for his complaints.,0.9996238946914672
"Within six months of this date, i.e.","In such a situation, the six months.,period might be calculated from the time when the applicant becomes.",0.9963142275810242
"Within six months of this date, i.e.","introduced out of time, given that the application was introduced on.",0.981509804725647
The applicant has therefore exhausted domestic remedies and also.,"authorities tolerating abuses of human rights of the kind alleged by.,been established that they had at their disposal adequate remedies.",0.999685525894165
The applicant has therefore exhausted domestic remedies and also.,the above conclusions in respect of remedies available for the.,0.9983798265457152
The applicant has therefore exhausted domestic remedies and also.,"The Commission recalls that Article 26 (Art.,Convention only requires the exhaustion of such remedies which relate.,to the breaches of the Convention alleged and at the same time can.",0.9997133612632751
The applicant has therefore exhausted domestic remedies and also.,"to exercise remedies which, although theoretically of a nature to.,constitute remedies, do not in reality offer any chance of redressing.",0.9958192110061646
The applicant has therefore exhausted domestic remedies and also.,proving the existence of available and sufficient domestic remedies.,0.9997194409370422
The applicant has therefore exhausted domestic remedies and also.,"authorities tolerating abuses of human rights of the kind alleged by.,been established that they had at their disposal adequate remedies.",0.999685525894165
The applicant has therefore exhausted domestic remedies and also.,the above conclusions in respect of remedies available for the.,0.9983798265457152
Regarding the alleged violation of Article 5 para.,"possibility of introducing an action for compensation before the civil.,Turkish Constitution or Article 8 of Decree 430 of 16 December 1990.",0.9986905455589294
The applicant has therefore exhausted domestic remedies and also.,"The Government also submit that alleged arson, destruction of.,property and threatening conduct are prohibited by the Criminal Code,
in respect of which complaints could be lodged with the competent.",0.9962368011474608
The applicant has therefore exhausted domestic remedies and also.,the applicants have failed to exhaust domestic remedies as required by.,0.999725878238678
No such action has been brought.,"applicants also allege a lack of genuine investigations by public.,and the lack of any prosecutions against members of the security forces.,for the alleged offences connected with the destruction of villages and.",0.9997196793556212
The applicant has therefore exhausted domestic remedies and also.,for non-exhaustion of domestic remedies under Articles 26 and 27 para.,0.9997305274009703
The Commission finds that these complaints raise complex issues.,"submissions, that the case raises complex issues of law and fact under.,concludes, therefore, that the application is not manifestly ill-
founded, within the meaning of Article 27 para.",0.9997182488441468
Regarding the alleged violation of Article 5 para.,contravention of the provisions of this Article shall have an.,0.9990804195404052
"Thus, they cannot, on arguable grounds, claim.",The applicant submits that the effect of Section 108 of the Courts and Legal Services Act 1991 is to deprive him of the remedy to which he had previously been entitled.,0.9791181087493896
Regarding the alleged violation of Article 5 para.,This part of the application can therefore also not be rejected as being manifestly ill-founded within the meaning of Article 27 para.,0.9987682700157166
The Commission finds that these complaints raise complex issues.,"After a preliminary examination of the complaints under Article 5 para.,5-1-a, 5-1-b) of the Convention, the Commission finds that they raise complex issues of fact and law which must be examined on the merits.",0.9997087121009828
Regarding the alleged violation of Article 5 para.,"The Commission recalls that under Article 5 para.,5-5) of the Convention the right to compensation is conditional on a breach of one of the paragraphs of Article 5 (Art.",0.999663233757019
The Commission finds that these complaints raise complex issues.,"He considers that, whatever the nature of the proceedings, they were so complex as to require proper legal representation, especially regarding the alternatives to immediate imprisonment.",0.9160377979278564
Everyone has the right to the freedom of expression.,"He alleges a violation of Article 6 (Art.,6) of the Convention.,of any criminal charge against him, everyone is entitled to a.
 fair and public hearing within a reasonable time by an.,independent and impartial tribunal established by law

 3.,Everyone charged with a criminal offence has the following.,legal assistance, to be given it free when the interests of.",0.999658226966858
The Commission finds that these complaints raise complex issues.,"The Commission finds that this complaint also raises complex issues of fact and law which must be examined on the merits.,This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of Article 27 para.",0.9997164607048036
Everyone has the right to the freedom of expression.,"Everyone has the right to liberty and security of person.,one shall be deprived of his liberty save in the following cases.,and in accordance with a procedure prescribed by law:

 (a) the lawful detention of a person convicted by a competent.,the fulfilment of any obligation prescribed by law;""",0.9997038245201112
The applicant has therefore exhausted domestic remedies and also.,"The Commission recalls that Article 26 (Art.,26) of the Convention only requires the exhaustion of such remedies which relate to the breaches of the Convention alleged and at the same time can provide effective and sufficient redress.",0.9995877146720886
The applicant has therefore exhausted domestic remedies and also.,42 p. 171) the Commission held that recourse to a purely discretionary power on the part of the Secretary of State did not constitute an effective domestic remedy.,0.9860119223594666
The Commission finds that these complaints raise complex issues.,"It considers that the applicant's complaints raise serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits.",0.99970680475235
Everyone has the right to the freedom of expression.,as required by Article 26 (Art.,0.9986751675605774
Regarding the alleged violation of Article 5 para.,To the extent that there might have been any interference with her rights under Article 8 para.,0.9996764659881592
"the ""protection of the reputation or rights of others"".","As for the framework of regulation, including the designation system, this is stated to represent a proportionate response to the need to protect public safety on the roads as well as the rights of others.",0.9996904134750366
Everyone has the right to the freedom of expression.,"under Article 8 (Art.,8) of the Convention.",0.9991863369941713
"Having regard to all these considerations,",She submits that there is an acknowledged shortfall of sites for gypsies in South Cambridgeshire and that local authorities are failing to fulfil their statutory duty to provide sites.,0.9805575609207152
The applicant has therefore exhausted domestic remedies and also.,"In these circumstances, the Commission finds that the application cannot be declared inadmissible for non-exhaustion of domestic remedies.",0.9997193217277528
"Thus, they cannot, on arguable grounds, claim.",It follows that the application cannot be dismissed as manifestly ill-founded.,0.984954833984375
The applicant has therefore exhausted domestic remedies and also.,It is furthermore established that the burden of proving the existence of available and sufficient domestic remedies lies upon the State invoking the rule (cf.,0.9994662404060364
The applicant has therefore exhausted domestic remedies and also.,"An applicant does not need to exercise remedies which, although theoretically of a nature to constitute remedies, do not in reality offer any chance of redressing the alleged breach (cf.",0.9498695731163024
No such action has been brought.,She also has not been subject to any of the criminal sanctions which may applied under the designation system.,0.998768150806427
"Thus, they cannot, on arguable grounds, claim.","Further, they point out that applicant took up residence on her land without prior planning permission.",0.9929924011230468
Everyone has the right to the freedom of expression.,"She invokes Article 8 (Art.,Everyone has the right to respect for his private and.,the exercise of this right except such as is in accordance with.,the law and is necessary in a democratic society in the interests.,protection of health or morals, or for the protection of the.,rights and freedoms of others.""",0.9997091889381408
The Commission finds that these complaints raise complex issues.,"It considers that the applicant's complaint raises serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits.",0.9997019171714784
"(see, inter alia and mutatis mutandis, the following judgments:","As regards the applicant's complaints concerning the decisions of the courts in the criminal proceedings, the Commission recalls that, in accordance with Article 19 (Art.",0.9609614014625548
"The applicable principles are, nonetheless, similar.","The Commission refers, on this point, to its constant case-law (see eg.",0.9794414043426514
Regarding the alleged violation of Article 5 para.,"He relies on Article 6 para.,6-1) of the Convention.",0.9994243383407592
"Thus, they cannot, on arguable grounds, claim.",The Government contend that in the present case the facts indicated that the applicant's wife had revoked her consent by mutual agreement with the applicant.,0.9961954355239868
Regarding the alleged violation of Article 5 para.,It follows that this part of the case is manifestly ill-founded within the meaning of Article 27 para.,0.9994524121284484
Regarding the alleged violation of Article 5 para.,It follows that this part of the application cannot be dismissed as manifestly ill-founded within the meaning of Article 27 para.,0.998160183429718
Everyone has the right to the freedom of expression.,"However, while Mr Findlay in his application to the Commission may not expressly have invoked his rights under Article 6 para.",0.9988532066345216
"(see, inter alia and mutatis mutandis, the following judgments:","80-85, and the Eckle v. Germany judgment of 15 July 1982, Series A no.",0.9882208108901978
"The applicable principles are, nonetheless, similar.","because the statutory framework according to which it proceeded was too vague and imprecise; for example, it was silent on the question of how the convening officer, confirming officer and reviewing authorities were to be appointed.",0.9479922652244568
"Having regard to all these considerations,",The question therefore arises whether the members of the court martial were sufficiently independent of the convening officer and whether the organisation of the trial offered adequate guarantees of impartiality.,0.968740165233612
"(see, inter alia and mutatis mutandis, the following judgments:","(see, mutatis mutandis, the Sramek v. Austria judgment of 22 October 1984, Series A no.",0.9990442395210266
"(see, inter alia and mutatis mutandis, the following judgments:","6-1) (see, mutatis mutandis, the Van de Hurk v. the Netherlands judgment of 19 April 1994, Series A no.",0.9904340505599976
Regarding the alleged violation of Article 5 para.,"Since the applicant's hearing was concerned with serious charges classified as ""criminal"" under both domestic and Convention law, he was entitled to a first-instance tribunal which fully met the requirements of Article 6 para.",0.978255331516266
The applicant has therefore exhausted domestic remedies and also.,"The Government contended that the rule relating to the exhaustion of domestic remedies was clearly established in international law and in the case-law of the Convention organs,",0.9965597987174988
The applicant has therefore exhausted domestic remedies and also.,"In fact, Mr Aksoy could have had recourse to three different types of domestic remedy: a criminal prosecution, a civil action and/or administrative proceedings (see paragraphs 24-28 above).",0.9997279047966005
The applicant has therefore exhausted domestic remedies and also.,required the applicant to avail himself of all national remedies unless these clearly offered him no chance of success.,0.9996961355209352
The applicant also complains of degrading treatment contrary to.,"With regard to the first of these options, they submitted that he could have complained about the alleged ill-treatment to the public prosecutor who saw him on 10 December 1992 (see paragraph 18 above).",0.9990848302841188
The applicant also complains of degrading treatment contrary to.,"Articles 243 and 245 of the Criminal Code, which were in force throughout Turkey, penalised the use of torture and ill-treatment for the extraction of confessions (see paragraph 24 above).",0.9921039342880248
"(see, inter alia and mutatis mutandis, the following judgments:","However, decisions by the administrative councils not to prosecute were always reviewed by the Supreme Administrative Court.",0.9169567227363586
The applicant has therefore exhausted domestic remedies and also.,They therefore drew the Court's attention to the existence of an administrative remedy under Article 125 of the Turkish Constitution (see paragraph 27 above).,0.9946942925453186
"(see, inter alia and mutatis mutandis, the following judgments:","In this connection, the Government submitted examples of administrative decisions in which compensation had been awarded in respect of death caused by torture in police custody.",0.9309316873550416
The applicant has therefore exhausted domestic remedies and also.,"In addition, the Government argued that Mr Aksoy could have brought a civil action for damages.",0.9996594190597534
The applicant has therefore exhausted domestic remedies and also.,"In these circumstances, the applicant claimed that he should not be required to pursue domestic remedies before making a complaint to Strasbourg.",0.9988797307014464
The applicant has therefore exhausted domestic remedies and also.,The failure of the prosecutor to start a criminal investigation made it extremely difficult for the applicant to avail himself of any domestic remedy.,0.99968421459198
Everyone has the right to the freedom of expression.,"Accordingly, it has recognised that Article 26 (art.,26) must be applied with some degree of flexibility and without excessive formalism.",0.9869408011436462
The applicant has therefore exhausted domestic remedies and also.,"The Court recalls that the rule of exhaustion of domestic remedies referred to in Article 26 of the Convention (art.,26) obliges those seeking to bring their case against the State before an international judicial or arbitral organ to use first the remedies provided by the national legal system.",0.9997159838676452
No such action has been brought.,"However, the prosecutor chose to make no enquiry as to the nature, extent and cause of these injuries, despite the fact that in Turkish law he was under a duty to investigate (see paragraph 26 above).",0.9275244474411012
"For instance, he suffered stenocardiac arrests and had.",During this time he had sustained severe injuries requiring hospital treatment (see paragraph 23 above).,0.9734999537467957
who was detained over a long period of time.,"It clearly follows that the period of fourteen or more days during which Mr Aksoy was detained without being brought before a judge or other judicial officer did not satisfy the requirement of ""promptness"".",0.9854898452758788
who was detained over a long period of time.,"This period is exceptionally long, and left the applicant vulnerable not only to arbitrary interference with his right to liberty but also to torture (see paragraph 64 above).,Moreover, the Government have not adduced any detailed reasons before the Court as to why the fight against terrorism in South-East Turkey rendered judicial intervention impracticable.",0.999308705329895
Everyone has the right to the freedom of expression.,"The relevant parts of Article 5 (art.,Everyone has the right to liberty and security of person.,Everyone arrested or detained in accordance with the provisions of paragraph 1 (c) of this Article (art.",0.9997038245201112
"(see, inter alia and mutatis mutandis, the following judgments:","(see, mutatis mutandis, the Lawless v. Ireland judgment of 1 July 1961, Series A no.,28, the above-mentioned Ireland v. the United Kingdom judgment, p. 78, para.,205, and the above-mentioned Brannigan and McBride judgment, p. 50, para.",0.9993109703063964
Regarding the alleged violation of Article 5 para.,"62), that a period of detention without judicial control of four days and six hours fell outside the strict constraints as to time permitted by Article 5 para.",0.9995762705802916
"(see, inter alia and mutatis mutandis, the following judgments:","(see, mutatis mutandis, the Lawless v. Ireland judgment of 1 July 1961, Series A no.,28, the above-mentioned Ireland v. the United Kingdom judgment, p. 78, para.,205, and the above-mentioned Brannigan and McBride judgment, p. 50, para.",0.9993109703063964
Everyone has the right to the freedom of expression.,"The Court would stress the importance of Article 5 (art.,5) in the Convention system: it enshrines a fundamental human right, namely the protection of the individual against arbitrary interference by the State with his or her right to liberty.",0.9996761083602904
Everyone has the right to the freedom of expression.,"Judicial control of interferences by the executive with the individual's right to liberty is an essential feature of the guarantee embodied in Article 5 para.,5-3), which is intended to minimise the risk of arbitrariness and to ensure the rule of law",0.9996993541717528
"(see, inter alia and mutatis mutandis, the following judgments:","(see the above-mentioned Brogan and Others judgment, p. 32, para.",0.9898834824562072
who was detained over a long period of time.,5) to the extent that individuals suspected of terrorist offences were allowed to be held for up to seven days without judicial control.,0.9992813467979432
The applicant also complains of degrading treatment contrary to.,"Furthermore, prompt judicial intervention may lead to the detection and prevention of serious ill treatment, which, as stated above (paragraph 62), is prohibited by the Convention in absolute and non-derogable terms.",0.9982206225395204
who was detained over a long period of time.,who was detained over a long period of time.,1.0
The applicant has therefore exhausted domestic remedies and also.,"Accordingly, in view in particular of the lack of any investigation, the Court finds that the applicant was denied an effective remedy in respect of his allegation of torture.",0.9989359974861144
Regarding the alleged violation of Article 5 para.,"13) to provide an effective remedy in respect of violations of the Convention.,Article 13 of the Convention (art.",0.9982258677482604
"The applicable principles are, nonetheless, similar.","Indeed, under Turkish law the prosecutor was under a duty to carry out an investigation.",0.98580139875412
Regarding the alleged violation of Article 5 para.,The Court recalls that Article 6 para.,0.997526466846466
The applicant also complains of degrading treatment contrary to.,"There can be no doubt that Article 6 para.,6-1) applies to a civil claim for compensation in respect of ill treatment allegedly committed by agents of the State (see, for example, the Tomasi judgment cited at paragraph 61 above, p. 43, paras.",0.999562442302704
"(see, inter alia and mutatis mutandis, the following judgments:","(see the Akdivar and Others judgment cited at paragraph 38 above, p. 1219, para.",0.9993444085121156
Everyone has the right to the freedom of expression.,25) that applicants or potential applicants are able to communicate freely with the Commission without being subjected to any form of pressure from the authorities to withdraw or modify their complaints,0.999658465385437
"(see, inter alia and mutatis mutandis, the following judgments:",The following examples give a brief summary of some of these decisions.,0.982056200504303
The applicant has therefore exhausted domestic remedies and also.,"I consider that ""where there is doubt"", and especially where there is doubt, domestic remedies must be exhausted as required by the Commission (decision of 14 March 1985, Garcia v. Switzerland, application no.,And the applicant did nothing of the sort.",0.9996453523635864
"(see, inter alia and mutatis mutandis, the following judgments:","(see the above-mentioned Akdivar and Others judgment, p. 1210, paras.",0.9875215888023376
The applicant also complains of degrading treatment contrary to.,He submitted that the treatment complained of was sufficiently severe as to amount to torture; it was inflicted with the purpose of inducing him to admit that he knew the man who had identified him.,0.9996275901794434
The applicant also complains of degrading treatment contrary to.,"In addition, he contended that the conditions in which he was detained (see paragraph 13 above) and the constant fear of torture which he suffered while in custody amounted to inhuman treatment.",0.9997323155403136
The applicant also complains of degrading treatment contrary to.,"Even in the most difficult of circumstances, such as the fight against organised terrorism and crime, the Convention prohibits in absolute terms torture or inhuman or degrading treatment or punishment.",0.9940043091773988
The applicant also complains of degrading treatment contrary to.,"In order to determine whether any particular form of ill-treatment should be qualified as torture, the Court must have regard to the distinction drawn in Article 3 (art.,3) between this notion and that of inhuman or degrading treatment.",0.9997013211250304
The needs of democracy justify transparency in such matters.,"3), as the Court has observed on many occasions, enshrines one of the fundamental values of democratic society.",0.9913809895515442
The applicant also complains of degrading treatment contrary to.,The Court considers that this treatment was of such a serious and cruel nature that it can only be described as torture.,0.9940221905708312
"The applicable principles are, nonetheless, similar.","In addition, according to the ""generally recognised rules of international law"" to which Article 26 (art.,26) makes reference, there may be special circumstances which absolve the applicant from the obligation to exhaust the domestic remedies at his disposal.",0.9992331266403198
"(see, inter alia and mutatis mutandis, the following judgments:","(see the Akdivar and Others judgment cited at paragraph 38 above, p. 1210, para.",0.9993672966957092
"The applicable principles are, nonetheless, similar.","The rule is based on the assumption, reflected in Article 13 of the Convention (art.",0.9474599957466124
No such action has been brought.,Prosecutors in the state of emergency region routinely failed to open investigations into alleged abuses of human rights and frequently refused even to acknowledge complaints.,0.9988651275634766
Everyone has the right to the freedom of expression.,The Court reiterates that Article 3 of the Convention enshrines one of the fundamental values of a democratic society.,0.9906963109970092
The applicant also complains of degrading treatment contrary to.,"Even in the most difficult of circumstances, such as the fight against organised terrorism and crime, the Convention prohibits in absolute terms treatment contrary to this provision.",0.9609109163284302
The applicant also complains of degrading treatment contrary to.,Ill-treatment must attain a minimum level of severity if it is to fall within the scope of Article 3.,0.9967821836471558
"Having regard to all these considerations,",The assessment of this minimum is relative:,0.9810093641281128
"Having regard to all these considerations,","The Court notes that the applicant's home was burned down before the eyes of members of his family, depriving them of shelter and support and obliging them to leave their home and friends.",0.9033048152923584
"Having regard to all these considerations,","The Court of Appeal carefully examined various strands of interpretation of the provision in the case-law, including the argument that the term ""unlawful"" excluded intercourse within marriage from the definition of rape.",0.9688407778739928
"(see, inter alia and mutatis mutandis, the following judgments:","3) judgment of 24 November 1994, Series A no.",0.9662219882011414
Regarding the alleged violation of Article 5 para.,"7) of the Convention, namely to ensure that no one should be subjected to arbitrary prosecution, conviction or punishment (see paragraph 32 above).",0.9041338562965392
"(see, inter alia and mutatis mutandis, the following judgments:","(see, for instance, the Kemmache v. France (no.,3) judgment of 24 November 1994, Series A no.",0.9662219882011414
Everyone has the right to the freedom of expression.,The guarantee enshrined in Article 7 (art.,0.9985744953155518
Everyone has the right to the freedom of expression.,"Accordingly, as the Court held in its Kokkinakis v. Greece judgment of 25 May 1993 (Series A no.,52), Article 7 (art.",0.9957751631736756
Everyone has the right to the freedom of expression.,"The Court thus indicated that when speaking of ""law"" Article 7 (art.",0.9170472621917723
"(see, inter alia and mutatis mutandis, the following judgments:","A succession of court decisions before and also after that date, for instance on 20 November 1990 in R. v. J.,(see paragraph 20 above), had affirmed the general principle of immunity.",0.9951891899108888
No such action has been brought.,"It was clearly beyond doubt that as at 12 November 1989 no change in the law had been effected, although one was being mooted.",0.9260292053222656
"(see, inter alia and mutatis mutandis, the following judgments:","However, the debate was pre-empted by the Court of Appeal's and the House of Lords' rulings in the applicant's case (see paragraphs 14 and 15 above).",0.998922884464264
Everyone has the right to the freedom of expression.,"Accordingly, as the Court held in its Kokkinakis v. Greece judgment of 25 May 1993 (Series A no.,52), Article 7 (art.",0.9957751631736756
No such action has been brought.,by not having pursued the libel proceedings commenced against The Observer newspaper.,0.9981182813644408
Regarding the alleged violation of Article 5 para.,"The applicants contended that the Inspectors' investigation and, above all, the publication of the Inspectors' report gave rise to a violation of Article 6 para.,6-1), which, in so far as relevant, provides:",0.9996851682662964
"Thus, they cannot, on arguable grounds, claim.","The first stage of the applicants' argument, which was disputed by the Government and not accepted by the Commission, was that",0.9979077577590942
"(see, inter alia and mutatis mutandis, the following judgments:","(see, inter alia, the Le Compte, Van Leuven and De Meyere v. Belgium judgment of 23 June 1981, Series A no.",0.9834105372428894
"the ""protection of the reputation or rights of others"".","the respondent Government did not dispute the existence and ""civil"" character of the right under English law to a good reputation.",0.9996579885482788
