,arg_id,argument,topic,stance,sents,sents_with_scores
16,arg_0_16,"assisted suicide is a blessing not a crime. a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is a blessing not a crime.', 'a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.']","[('assisted suicide is a blessing not a crime.', 0.8051416873931885), ('a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.', 0.8657022714614868)]"
17,arg_0_17,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.'],"[('assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.', 0.922161340713501)]"
18,arg_0_18,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide should be a criminal offence,-1,['assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed'],"[('assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed', 0.9236860275268555)]"
19,arg_0_19,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide should be a criminal offence,-1,"[""assisted suicide is a human right and would spare the terminally i'll pain.""]","[(""assisted suicide is a human right and would spare the terminally i'll pain."", 0.6269579529762268)]"
20,arg_0_20,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.']","[('assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.', 0.9530001282691956)]"
21,arg_0_21,assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.'],"[('assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.', 0.9054202437400818)]"
22,arg_0_22,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a lot better than letting a person suffer until end of life.'],"[('assisted suicide is a lot better than letting a person suffer until end of life.', 0.8566118478775024)]"
23,arg_0_23,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,Assisted suicide should be a criminal offence,-1,['assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution'],"[('assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution', 0.8977739810943604)]"
24,arg_0_24,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,Assisted suicide should be a criminal offence,-1,['assisted suicide is necessary in our modern world full of people dealing with pain and sorrow'],"[('assisted suicide is necessary in our modern world full of people dealing with pain and sorrow', 0.8056960105895996)]"
25,arg_0_25,"assisted suicide is sometimes the only solution for some people, we should not take it off.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is sometimes the only solution for some people, we should not take it off.']","[('assisted suicide is sometimes the only solution for some people, we should not take it off.', 0.8026571273803711)]"
26,arg_0_26,"assisted suicide must be allowed. if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.",Assisted suicide should be a criminal offence,-1,"['assisted suicide must be allowed.', 'if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.']","[('assisted suicide must be allowed.', 0.7363440990447998), ('if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.', 0.8695085644721985)]"
27,arg_0_27,assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.'],"[('assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.', 0.9650270938873291)]"
28,arg_0_28,assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.'],"[('assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.', 0.9163376092910767)]"
29,arg_0_29,assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice,Assisted suicide should be a criminal offence,-1,['assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice'],"[('assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice', 0.9408586025238037)]"
30,arg_0_30,assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.'],"[('assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.', 0.9429386854171753)]"
31,arg_0_31,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,Assisted suicide should be a criminal offence,-1,['assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane'],"[('assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane', 0.8018470406532288)]"
32,arg_0_32,assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.'],"[('assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.', 0.8517073392868042)]"
33,arg_0_33,"assisted suicide should not be a crime. if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a crime.', 'if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.']","[('assisted suicide should not be a crime.', 0.7791661620140076), ('if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.', 0.9121512174606323)]"
34,arg_0_34,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.']","[('assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.', 0.8641809821128845)]"
35,arg_0_35,Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.,Assisted suicide should be a criminal offence,-1,['Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.'],"[('Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.', 0.8803722858428955)]"
36,arg_0_36,Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.,Assisted suicide should be a criminal offence,-1,['Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.'],"[('Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.', 0.8963887691497803)]"
37,arg_0_37,assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.'],"[('assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.', 0.8614622354507446)]"
38,arg_0_38,assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to,Assisted suicide should be a criminal offence,-1,"[""assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to""]","[(""assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to"", 0.8133001327514648)]"
39,arg_0_39,assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.'],"[('assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.', 0.9201488494873047)]"
40,arg_0_40,assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.'],"[('assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.', 0.8964954614639282)]"
41,arg_0_41,assisted suicide should not be a criminal offence if the patients asking for it to be done to them,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence if the patients asking for it to be done to them'],"[('assisted suicide should not be a criminal offence if the patients asking for it to be done to them', 0.528412938117981)]"
42,arg_0_42,"assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.']","[('assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.', 0.9365943670272827)]"
43,arg_0_43,"assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to",Assisted suicide should be a criminal offence,-1,"[""assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to""]","[(""assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to"", 0.8035168051719666)]"
44,arg_0_44,"assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.']","[('assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.', 0.8834001421928406)]"
45,arg_0_45,assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness'],"[('assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness', 0.8779256343841553)]"
46,arg_0_46,assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.'],"[('assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.', 0.8618225455284119)]"
47,arg_0_47,"assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.']","[('assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.', 0.8358395099639893)]"
48,arg_0_48,assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves. it could prevent months or years of pain for someone with no quality of life.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves.'],"[('assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves.', 0.8513187766075134)]"
49,arg_0_49,assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live""]","[(""assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live"", 0.8662786483764648)]"
50,arg_0_50,assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions""]","[(""assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions"", 0.8511666059494019)]"
51,arg_0_51,assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed""]","[(""assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed"", 0.7456526756286621)]"
52,arg_0_52,"assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway",Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway""]","[(""assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway"", 0.8394063115119934)]"
53,arg_0_53,assisted suicide sometimes is the only thing that ends suffering.,Assisted suicide should be a criminal offence,-1,['assisted suicide sometimes is the only thing that ends suffering.'],"[('assisted suicide sometimes is the only thing that ends suffering.', 0.8459200263023376)]"
54,arg_0_54,assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony. they should be allowed to 'check out' and receive help doing so.,Assisted suicide should be a criminal offence,-1,['assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony.'],"[('assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony.', 0.8226138949394226)]"
55,arg_0_55,assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.,Assisted suicide should be a criminal offence,-1,['assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.'],"[('assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.', 0.864162266254425)]"
56,arg_0_56,assisted suicide would save terminally i'll people pain and suffering.,Assisted suicide should be a criminal offence,-1,"[""assisted suicide would save terminally i'll people pain and suffering.""]","[(""assisted suicide would save terminally i'll people pain and suffering."", 0.5981455445289612)]"
57,arg_0_57,assisted suicides are less painful and are an act of mercy,Assisted suicide should be a criminal offence,-1,['assisted suicides are less painful and are an act of mercy'],"[('assisted suicides are less painful and are an act of mercy', 0.893101692199707)]"
58,arg_0_58,assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering.,Assisted suicide should be a criminal offence,-1,"[""assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering.""]","[(""assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering."", 0.890555739402771)]"
59,arg_0_59,assited suicide allows those with a painful and terminal illness the ability to chose to end their life to cease the pain and suffering that would last for the end of their lives.,Assisted suicide should be a criminal offence,-1,['assited suicide allows those with a painful and terminal illness the ability to chose to end their life to cease the pain and suffering that would last for the end of their lives.'],"[('assited suicide allows those with a painful and terminal illness the ability to chose to end their life to cease the pain and suffering that would last for the end of their lives.', 0.8682458400726318)]"
60,arg_0_60,"being able to die with dignity should be a right. when someone thinks their time has come, they should be able to die comfortable without worrying if having their loved ones nearby would get them jail time.",Assisted suicide should be a criminal offence,-1,"['being able to die with dignity should be a right.', 'when someone thinks their time has come, they should be able to die comfortable without worrying if having their loved ones nearby would get them jail time.']","[('being able to die with dignity should be a right.', 0.9065355062484741), ('when someone thinks their time has come, they should be able to die comfortable without worrying if having their loved ones nearby would get them jail time.', 0.8051958680152893)]"
61,arg_0_61,Death with dignity is having the option to decide your own fate. You're able to take control of your own fate. It allows you to leave the world with your true self intact.,Assisted suicide should be a criminal offence,-1,['Death with dignity is having the option to decide your own fate.'],"[('Death with dignity is having the option to decide your own fate.', 0.8148643970489502)]"
62,arg_0_62,"everyone should have the right to chose the direction they want to take, if someone is in unbearable pain with no quality of life then they should have the right to seek assistance.",Assisted suicide should be a criminal offence,-1,[],[]
63,arg_0_63,"for those with degenerative diseases, assisted suicide is often the only solace they have",Assisted suicide should be a criminal offence,-1,"['for those with degenerative diseases, assisted suicide is often the only solace they have']","[('for those with degenerative diseases, assisted suicide is often the only solace they have', 0.9274827241897583)]"
64,arg_0_64,"if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering",Assisted suicide should be a criminal offence,-1,"['if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering']","[('if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering', 0.9231034517288208)]"
65,arg_0_65,"If a person is already diagnosed with only a short time to live and is undergoing excruciating pain, assisted death is a compassionate support for the person.",Assisted suicide should be a criminal offence,-1,"['If a person is already diagnosed with only a short time to live and is undergoing excruciating pain, assisted death is a compassionate support for the person.']","[('If a person is already diagnosed with only a short time to live and is undergoing excruciating pain, assisted death is a compassionate support for the person.', 0.8800942897796631)]"
66,arg_0_66,"If a person only has weeks to live, then assisted suicide may be the answer if all other possibilities have been exhaussted.",Assisted suicide should be a criminal offence,-1,"['If a person only has weeks to live, then assisted suicide may be the answer if all other possibilities have been exhaussted.']","[('If a person only has weeks to live, then assisted suicide may be the answer if all other possibilities have been exhaussted.', 0.8811243772506714)]"
67,arg_0_67,"If a person was terminally ill and no treatments were working on them and they have only weeks to live, than assisted suicide should be a way out.",Assisted suicide should be a criminal offence,-1,"['If a person was terminally ill and no treatments were working on them and they have only weeks to live, than assisted suicide should be a way out.']","[('If a person was terminally ill and no treatments were working on them and they have only weeks to live, than assisted suicide should be a way out.', 0.8672241568565369)]"
68,arg_0_68,if a person who is dying anyway wants to end their life in a peaceful way then they should be able to do so.,Assisted suicide should be a criminal offence,-1,['if a person who is dying anyway wants to end their life in a peaceful way then they should be able to do so.'],"[('if a person who is dying anyway wants to end their life in a peaceful way then they should be able to do so.', 0.9022614359855652)]"
69,arg_0_69,if a terminally ill patient does not have assisted suicide available they may turn to another more violent method of ending their own life.,Assisted suicide should be a criminal offence,-1,['if a terminally ill patient does not have assisted suicide available they may turn to another more violent method of ending their own life.'],"[('if a terminally ill patient does not have assisted suicide available they may turn to another more violent method of ending their own life.', 0.9169515371322632)]"
70,arg_0_70,if people has a life ending illness they should be allowed to die,Assisted suicide should be a criminal offence,-1,['if people has a life ending illness they should be allowed to die'],"[('if people has a life ending illness they should be allowed to die', 0.796623706817627)]"
71,arg_0_71,if somebody is going to commit suicide anyway they should be able to do it safely with assistance,Assisted suicide should be a criminal offence,-1,['if somebody is going to commit suicide anyway they should be able to do it safely with assistance'],"[('if somebody is going to commit suicide anyway they should be able to do it safely with assistance', 0.8966408967971802)]"
72,arg_0_72,"if someone has an illness and is in constant pain, helping them end their misery is the humane thing to do and should be understood.",Assisted suicide should be a criminal offence,-1,"['if someone has an illness and is in constant pain, helping them end their misery is the humane thing to do and should be understood.']","[('if someone has an illness and is in constant pain, helping them end their misery is the humane thing to do and should be understood.', 0.9184731841087341)]"
73,arg_0_73,"if someone is suffering from an incurable disease and is in great pain, it can be humane to help end their suffering.",Assisted suicide should be a criminal offence,-1,"['if someone is suffering from an incurable disease and is in great pain, it can be humane to help end their suffering.']","[('if someone is suffering from an incurable disease and is in great pain, it can be humane to help end their suffering.', 0.9153525829315186)]"
74,arg_0_74,"if someone is suffering so much that they see suicide as the only way out, then criminalising their behaviour is likely to do more harm than good.",Assisted suicide should be a criminal offence,-1,"['if someone is suffering so much that they see suicide as the only way out, then criminalising their behaviour is likely to do more harm than good.']","[('if someone is suffering so much that they see suicide as the only way out, then criminalising their behaviour is likely to do more harm than good.', 0.9350883960723877)]"
75,arg_0_75,"if someone wants to die they shouldn't have to stay alive, so helping them to die is the beat thing to do. that shouldn't be a criminal offence.",Assisted suicide should be a criminal offence,-1,"[""if someone wants to die they shouldn't have to stay alive, so helping them to die is the beat thing to do."", ""that shouldn't be a criminal offence.""]","[(""if someone wants to die they shouldn't have to stay alive, so helping them to die is the beat thing to do."", 0.80882328748703), (""that shouldn't be a criminal offence."", 0.6196394562721252)]"
76,arg_0_76,"if to a degree of reasonable certainty the state of seriousness can not be reversed by the medicine, the patient must have the right to end his life and if he needs help for that he should not be condemned",Assisted suicide should be a criminal offence,-1,"['if to a degree of reasonable certainty the state of seriousness can not be reversed by the medicine, the patient must have the right to end his life and if he needs help for that he should not be condemned']","[('if to a degree of reasonable certainty the state of seriousness can not be reversed by the medicine, the patient must have the right to end his life and if he needs help for that he should not be condemned', 0.8258103132247925)]"
77,arg_0_77,"if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.",Assisted suicide should be a criminal offence,-1,"['if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.']","[('if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.', 0.9153737425804138)]"
78,arg_0_78,it helps relieve some people from tremendous suffering,Assisted suicide should be a criminal offence,-1,[],[]
79,arg_0_79,it is more humane to help the person die than to let them suffer excruciating pain,Assisted suicide should be a criminal offence,-1,[],[]
80,arg_0_80,it is unfair to force someone with a terminal illness to continue to suffer greatly when they are just dying anyway. the only humane and compassionate way to help them is to allow assisted suicide.,Assisted suicide should be a criminal offence,-1,['the only humane and compassionate way to help them is to allow assisted suicide.'],"[('the only humane and compassionate way to help them is to allow assisted suicide.', 0.8845138549804688)]"
81,arg_0_81,it shouldn't be an offence because is someone is seriously ill and in pain they have the right to end their own life if they are suffering.,Assisted suicide should be a criminal offence,-1,[],[]
82,arg_0_82,many people are suffering terribly but are physically incapable of dying on their own,Assisted suicide should be a criminal offence,-1,['many people are suffering terribly but are physically incapable of dying on their own'],"[('many people are suffering terribly but are physically incapable of dying on their own', 0.8902302980422974)]"
83,arg_0_83,many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.,Assisted suicide should be a criminal offence,-1,['many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.'],"[('many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.', 0.9386395215988159)]"
84,arg_0_84,People and family members must decide what they want to do with their life and body,Assisted suicide should be a criminal offence,-1,['People and family members must decide what they want to do with their life and body'],"[('People and family members must decide what they want to do with their life and body', 0.8071182370185852)]"
85,arg_0_85,"people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.",Assisted suicide should be a criminal offence,-1,"['people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.']","[('people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.', 0.9641668200492859)]"
86,arg_0_86,people have the right to die on their own terms and in their own time,Assisted suicide should be a criminal offence,-1,['people have the right to die on their own terms and in their own time'],"[('people have the right to die on their own terms and in their own time', 0.8854770660400391)]"
87,arg_0_87,people have the right to their bodies and if they wish to die they should be able to get help to do so.,Assisted suicide should be a criminal offence,-1,['people have the right to their bodies and if they wish to die they should be able to get help to do so.'],"[('people have the right to their bodies and if they wish to die they should be able to get help to do so.', 0.9122845530509949)]"
88,arg_0_88,people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative,Assisted suicide should be a criminal offence,-1,['people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative'],"[('people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative', 0.8121339082717896)]"
